Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331875 to 331875
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331875 to run 331875  lasting from Mon Aug  7 14:31:27 2017 UTC to Tue Aug  8 08:21:29 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:15 2017 UTC-Mon Aug  7 15:32:15 2017 UTC (0.001 )  Time stamp start 1502119935739561965 end 1502119935738561090  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:17 2017 UTC-Mon Aug  7 15:32:18 2017 UTC (0.001 )  Time stamp start 1502119938000387725 end 1502119937999386525  Run 331875, LB 65, lumi 14.56
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:32:20 2017 UTC-Mon Aug  7 15:32:20 2017 UTC (0.001 )  Time stamp start 1502119940895331815 end 1502119940894331815  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:23 2017 UTC-Mon Aug  7 15:32:23 2017 UTC (0.001 )  Time stamp start 1502119943958964660 end 1502119943957963290  Run 331875, LB 65, lumi 14.56
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:26 2017 UTC-Mon Aug  7 15:32:26 2017 UTC (0.001 )  Time stamp start 1502119946858758825 end 1502119946857758055  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:29 2017 UTC-Mon Aug  7 15:32:29 2017 UTC (0.001 )  Time stamp start 1502119949744141545 end 1502119949743141195  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:32 2017 UTC-Mon Aug  7 15:32:32 2017 UTC (0.001 )  Time stamp start 1502119952209284845 end 1502119952208283600  Run 331875, LB 65, lumi 14.56
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:34 2017 UTC-Mon Aug  7 15:32:34 2017 UTC (0.001 )  Time stamp start 1502119954811102930 end 1502119954810102235  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:37 2017 UTC-Mon Aug  7 15:32:37 2017 UTC (0.001 )  Time stamp start 1502119957319919455 end 1502119957318919330  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:41 2017 UTC-Mon Aug  7 15:32:41 2017 UTC (0.001 )  Time stamp start 1502119961745409105 end 1502119961744408980  Run 331875, LB 66, lumi 15.59
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:45 2017 UTC-Mon Aug  7 15:32:45 2017 UTC (0.001 )  Time stamp start 1502119965220953165 end 1502119965219952740  Run 331875, LB 66, lumi 15.60
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:32:49 2017 UTC-Mon Aug  7 15:32:49 2017 UTC (0.001 )  Time stamp start 1502119969102913305 end 1502119969101913305  Run 331875, LB 66, lumi 15.59
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:52 2017 UTC-Mon Aug  7 15:32:52 2017 UTC (0.001 )  Time stamp start 1502119972544693575 end 1502119972543693575  Run 331875, LB 66, lumi 15.59
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:55 2017 UTC-Mon Aug  7 15:32:55 2017 UTC (0.001 )  Time stamp start 1502119975837290575 end 1502119975836290250  Run 331875, LB 66, lumi 15.60
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:33:07 2017 UTC-Mon Aug  7 15:33:07 2017 UTC (0.001 )  Time stamp start 1502119987026771450 end 1502119987025771450  Run 331875, LB 66, lumi 15.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:33:11 2017 UTC-Mon Aug  7 15:33:11 2017 UTC (0.001 )  Time stamp start 1502119991037460695 end 1502119991036460570  Run 331875, LB 66, lumi 15.59
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:33:13 2017 UTC-Mon Aug  7 15:33:13 2017 UTC (0.001 )  Time stamp start 1502119993579046520 end 1502119993578046225  Run 331875, LB 66, lumi 15.60
Event Veto ['NoiseBurst'], Mon Aug  7 15:33:16 2017 UTC-Mon Aug  7 15:33:16 2017 UTC (0.001 )  Time stamp start 1502119996712537225 end 1502119996711537100  Run 331875, LB 66, lumi 15.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:33:29 2017 UTC-Mon Aug  7 15:33:29 2017 UTC (0.001 )  Time stamp start 1502120009920818095 end 1502120009919818095  Run 331875, LB 66, lumi 15.59
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:34:31 2017 UTC-Mon Aug  7 15:34:31 2017 UTC (0.001 )  Time stamp start 1502120071059929500 end 1502120071058928475  Run 331875, LB 68, lumi 15.61
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:34:33 2017 UTC-Mon Aug  7 15:34:33 2017 UTC (0.001 )  Time stamp start 1502120073988544240 end 1502120073987543115  Run 331875, LB 68, lumi 15.61
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:34:54 2017 UTC-Mon Aug  7 15:34:54 2017 UTC (0.001 )  Time stamp start 1502120094176105315 end 1502120094175104515  Run 331875, LB 68, lumi 15.60
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:34:56 2017 UTC-Mon Aug  7 15:34:56 2017 UTC (0.001 )  Time stamp start 1502120096970427690 end 1502120096969426365  Run 331875, LB 69, lumi 15.60
