Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305380 to 305380
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305380 to run 305380  lasting from Mon Aug  1 22:23:36 2016 UTC to Tue Aug  2 10:42:25 2016 UTC
Event Veto ['NoiseBurst'], Mon Aug  1 23:33:17 2016 UTC-Mon Aug  1 23:33:17 2016 UTC (0.010 )  Time stamp start 1470094397062368620 end 1470094397052368495  Run 305380, LB 78, lumi 113.96
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:25 2016 UTC-Mon Aug  1 23:33:25 2016 UTC (0.001 )  Time stamp start 1470094405065211530 end 1470094405064211530  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:29 2016 UTC-Mon Aug  1 23:33:29 2016 UTC (0.001 )  Time stamp start 1470094409403975540 end 1470094409402975415  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:33 2016 UTC-Mon Aug  1 23:33:33 2016 UTC (0.001 )  Time stamp start 1470094413760043415 end 1470094413759043415  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:38 2016 UTC-Mon Aug  1 23:33:38 2016 UTC (0.001 )  Time stamp start 1470094418345735015 end 1470094418344734890  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:56 2016 UTC-Mon Aug  1 23:33:56 2016 UTC (0.001 )  Time stamp start 1470094436329194530 end 1470094436328194530  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:00 2016 UTC-Mon Aug  1 23:34:00 2016 UTC (0.001 )  Time stamp start 1470094440787524730 end 1470094440786524730  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:05 2016 UTC-Mon Aug  1 23:34:05 2016 UTC (0.001 )  Time stamp start 1470094445297127305 end 1470094445296127055  Run 305380, LB 78, lumi 11.40
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:13 2016 UTC-Mon Aug  1 23:34:13 2016 UTC (0.001 )  Time stamp start 1470094453531133180 end 1470094453530132060  Run 305380, LB 79, lumi 11.39
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:22 2016 UTC-Mon Aug  1 23:34:22 2016 UTC (0.001 )  Time stamp start 1470094462623149255 end 1470094462622149005  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:26 2016 UTC-Mon Aug  1 23:34:26 2016 UTC (0.001 )  Time stamp start 1470094466896785650 end 1470094466895785650  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:35 2016 UTC-Mon Aug  1 23:34:35 2016 UTC (0.001 )  Time stamp start 1470094475545736920 end 1470094475544736645  Run 305380, LB 79, lumi 11.38
Event Veto ['NoiseBurst'], Mon Aug  1 23:34:38 2016 UTC-Mon Aug  1 23:34:38 2016 UTC (0.010 )  Time stamp start 1470094478367194460 end 1470094478357001240  Run 305380, LB 79, lumi 115.99
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:43 2016 UTC-Mon Aug  1 23:34:43 2016 UTC (0.001 )  Time stamp start 1470094483742324300 end 1470094483741324300  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:48 2016 UTC-Mon Aug  1 23:34:48 2016 UTC (0.001 )  Time stamp start 1470094488054934075 end 1470094488053933700  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:34:52 2016 UTC-Mon Aug  1 23:34:52 2016 UTC (0.001 )  Time stamp start 1470094492456463370 end 1470094492455463245  Run 305380, LB 79, lumi 11.38
Event Veto ['NoiseBurst'], Mon Aug  1 23:34:52 2016 UTC-Mon Aug  1 23:34:52 2016 UTC (0.010 )  Time stamp start 1470094492927941955 end 1470094492917633590  Run 305380, LB 79, lumi 117.30
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:35:01 2016 UTC-Mon Aug  1 23:35:01 2016 UTC (0.001 )  Time stamp start 1470094501047845995 end 1470094501046845745  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:35:05 2016 UTC-Mon Aug  1 23:35:05 2016 UTC (0.001 )  Time stamp start 1470094505331097560 end 1470094505330097560  Run 305380, LB 79, lumi 11.38
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:35:35 2016 UTC-Mon Aug  1 23:35:35 2016 UTC (0.001 )  Time stamp start 1470094535888420500 end 1470094535887419200  Run 305380, LB 80, lumi 11.37
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:35:40 2016 UTC-Mon Aug  1 23:35:40 2016 UTC (0.001 )  Time stamp start 1470094540421892820 end 1470094540420892820  Run 305380, LB 80, lumi 11.35
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:36:07 2016 UTC-Mon Aug  1 23:36:07 2016 UTC (0.001 )  Time stamp start 1470094567293367835 end 1470094567292367835  Run 305380, LB 80, lumi 11.35
Event Veto ['NoiseBurst'], Mon Aug  1 23:36:15 2016 UTC-Mon Aug  1 23:36:15 2016 UTC (0.010 )  Time stamp start 1470094575280455465 end 1470094575270245805  Run 305380, LB 81, lumi 115.65
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:36:21 2016 UTC-Mon Aug  1 23:36:21 2016 UTC (0.001 )  Time stamp start 1470094581034300675 end 1470094581033300675  Run 305380, LB 81, lumi 11.33
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:36:29 2016 UTC-Mon Aug  1 23:36:29 2016 UTC (0.001 )  Time stamp start 1470094589758090465 end 1470094589757090465  Run 305380, LB 81, lumi 11.33
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:37:04 2016 UTC-Mon Aug  1 23:37:04 2016 UTC (0.001 )  Time stamp start 1470094624821756615 end 1470094624820756490  Run 305380, LB 82, lumi 11.32
Event Veto ['NoiseBurst'], Mon Aug  1 23:37:05 2016 UTC-Mon Aug  1 23:37:05 2016 UTC (0.010 )  Time stamp start 1470094625363665000 end 1470094625353489395  Run 305380, LB 82, lumi 115.22
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:37:13 2016 UTC-Mon Aug  1 23:37:13 2016 UTC (0.001 )  Time stamp start 1470094633397410895 end 1470094633396410895  Run 305380, LB 82, lumi 11.32
Event Veto ['NoiseBurst'], Mon Aug  1 23:37:22 2016 UTC-Mon Aug  1 23:37:22 2016 UTC (0.010 )  Time stamp start 1470094642652312910 end 1470094642642163605  Run 305380, LB 82, lumi 114.92
Event Veto ['NoiseBurst'], Mon Aug  1 23:37:32 2016 UTC-Mon Aug  1 23:37:32 2016 UTC (0.010 )  Time stamp start 1470094652328761250 end 1470094652318671530  Run 305380, LB 82, lumi 114.25
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:37:44 2016 UTC-Mon Aug  1 23:37:44 2016 UTC (0.001 )  Time stamp start 1470094664228366000 end 1470094664227366000  Run 305380, LB 83, lumi 11.30
Event Veto ['NoiseBurst'], Mon Aug  1 23:37:57 2016 UTC-Mon Aug  1 23:37:57 2016 UTC (0.010 )  Time stamp start 1470094677398648045 end 1470094677388498065  Run 305380, LB 83, lumi 114.69
