Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339535 to 339535
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339535 to run 339535  lasting from Mon Oct 30 18:22:30 2017 UTC to Tue Oct 31 01:03:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:50:02 2017 UTC-Mon Oct 30 20:50:02 2017 UTC (0.001 )  Time stamp start 1509396602669252855 end 1509396602668252855  Run 339535, LB 161, lumi 15.60
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:50:12 2017 UTC-Mon Oct 30 20:50:12 2017 UTC (0.001 )  Time stamp start 1509396612314959850 end 1509396612313959850  Run 339535, LB 161, lumi 15.60
Event Veto ['NoiseBurst'], Mon Oct 30 20:50:32 2017 UTC-Mon Oct 30 20:50:32 2017 UTC (0.002 )  Time stamp start 1509396632548479065 end 1509396632546966750  Run 339535, LB 162, lumi 23.76
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:50:42 2017 UTC-Mon Oct 30 20:50:42 2017 UTC (0.001 )  Time stamp start 1509396642646273575 end 1509396642645273575  Run 339535, LB 162, lumi 15.71
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:51:01 2017 UTC-Mon Oct 30 20:51:01 2017 UTC (0.001 )  Time stamp start 1509396661361618450 end 1509396661360178865  Run 339535, LB 162, lumi 22.62
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:51:18 2017 UTC-Mon Oct 30 20:51:18 2017 UTC (0.001 )  Time stamp start 1509396678421369285 end 1509396678420369285  Run 339535, LB 163, lumi 15.52
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:51:20 2017 UTC-Mon Oct 30 20:51:20 2017 UTC (0.001 )  Time stamp start 1509396680812922840 end 1509396680811922840  Run 339535, LB 163, lumi 15.52
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:51:31 2017 UTC-Mon Oct 30 20:51:31 2017 UTC (0.001 )  Time stamp start 1509396691411942060 end 1509396691410942060  Run 339535, LB 163, lumi 15.52
Event Veto ['NoiseBurst'], Mon Oct 30 20:51:32 2017 UTC-Mon Oct 30 20:51:32 2017 UTC (0.001 )  Time stamp start 1509396692374282660 end 1509396692372971275  Run 339535, LB 163, lumi 20.35
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:52:26 2017 UTC-Mon Oct 30 20:52:26 2017 UTC (0.001 )  Time stamp start 1509396746147729230 end 1509396746146729230  Run 339535, LB 164, lumi 15.49
