Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349637 to 349637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349637 to run 349637  lasting from Sun May  6 09:48:54 2018 UTC to Mon May  7 00:18:06 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:43 2018 UTC-Sun May  6 11:10:43 2018 UTC (0.001 )  Time stamp start 1525605043236054955 end 1525605043235054955  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:44 2018 UTC-Sun May  6 11:10:44 2018 UTC (0.001 )  Time stamp start 1525605044735636185 end 1525605044734636185  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:46 2018 UTC-Sun May  6 11:10:46 2018 UTC (0.001 )  Time stamp start 1525605046365819710 end 1525605046364819710  Run 349637, LB 87, lumi 19.55
Event Veto ['NoiseBurst'], Sun May  6 11:10:50 2018 UTC-Sun May  6 11:10:50 2018 UTC (0.001 )  Time stamp start 1525605050292539520 end 1525605050291538825  Run 349637, LB 87, lumi 19.56
Event Veto ['NoiseBurst'], Sun May  6 11:10:54 2018 UTC-Sun May  6 11:10:54 2018 UTC (0.001 )  Time stamp start 1525605054565072080 end 1525605054564071305  Run 349637, LB 87, lumi 19.56
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:57 2018 UTC-Sun May  6 11:10:57 2018 UTC (0.001 )  Time stamp start 1525605057981762195 end 1525605057980762195  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:11:44 2018 UTC-Sun May  6 11:11:44 2018 UTC (0.001 )  Time stamp start 1525605104382000935 end 1525605104381000935  Run 349637, LB 89, lumi 19.62
Event Veto ['MiniNoiseBurst'], Sun May  6 11:11:50 2018 UTC-Sun May  6 11:11:50 2018 UTC (0.001 )  Time stamp start 1525605110452778680 end 1525605110451778680  Run 349637, LB 89, lumi 19.62
Event Veto ['MiniNoiseBurst'], Sun May  6 11:11:52 2018 UTC-Sun May  6 11:11:52 2018 UTC (0.001 )  Time stamp start 1525605112006558180 end 1525605112005558180  Run 349637, LB 89, lumi 19.62
Event Veto ['MiniNoiseBurst'], Sun May  6 11:11:55 2018 UTC-Sun May  6 11:11:55 2018 UTC (0.001 )  Time stamp start 1525605115807035735 end 1525605115806035735  Run 349637, LB 89, lumi 19.62
Event Veto ['MiniNoiseBurst'], Sun May  6 11:11:59 2018 UTC-Sun May  6 11:11:59 2018 UTC (0.001 )  Time stamp start 1525605119498463100 end 1525605119497462975  Run 349637, LB 89, lumi 19.62
