Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['DataCorruption'], Thu Aug 17 11:13:29 2017 UTC-Thu Aug 17 11:13:29 2017 UTC (0.500 )  Time stamp start 1502968409556843920 end 1502968409056593965  Run 333426, LB 77, lumi 5064.98
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:13:38 2017 UTC-Thu Aug 17 11:13:38 2017 UTC (0.001 )  Time stamp start 1502968418140457825 end 1502968418139457400  Run 333426, LB 78, lumi 10.11
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:13:56 2017 UTC-Thu Aug 17 11:13:56 2017 UTC (0.000 )  Time stamp start 1502968436164492790 end 1502968436164492090  Run 333426, LB 78, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:13:56 2017 UTC-Thu Aug 17 11:13:56 2017 UTC (0.001 )  Time stamp start 1502968436165492790 end 1502968436164492790  Run 333426, LB 78, lumi 10.11
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:14:23 2017 UTC-Thu Aug 17 11:14:23 2017 UTC (0.001 )  Time stamp start 1502968463182370475 end 1502968463181370475  Run 333426, LB 79, lumi 10.12
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:14:23 2017 UTC-Thu Aug 17 11:14:23 2017 UTC (0.001 )  Time stamp start 1502968463498883905 end 1502968463497883360  Run 333426, LB 79, lumi 10.13
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:14:50 2017 UTC-Thu Aug 17 11:14:50 2017 UTC (0.001 )  Time stamp start 1502968490753230660 end 1502968490752230660  Run 333426, LB 79, lumi 10.12
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:14:59 2017 UTC-Thu Aug 17 11:14:59 2017 UTC (0.001 )  Time stamp start 1502968499551958675 end 1502968499550957925  Run 333426, LB 79, lumi 10.13
Event Veto ['DataCorruption'], Thu Aug 17 11:15:05 2017 UTC-Thu Aug 17 11:15:05 2017 UTC (0.501 )  Time stamp start 1502968505863500110 end 1502968505362915315  Run 333426, LB 79, lumi 5066.69
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:08 2017 UTC-Thu Aug 17 11:15:08 2017 UTC (0.001 )  Time stamp start 1502968508726656040 end 1502968508725656040  Run 333426, LB 79, lumi 10.12
