Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350144 to 350144
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350144 to run 350144  lasting from Sat May 12 18:24:25 2018 UTC to Sun May 13 08:35:36 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 19:21:49 2018 UTC-Sat May 12 19:21:49 2018 UTC (0.001 )  Time stamp start 1526152909814603760 end 1526152909813603760  Run 350144, LB 99, lumi 19.85
Event Veto ['MiniNoiseBurst'], Sat May 12 19:22:25 2018 UTC-Sat May 12 19:22:25 2018 UTC (0.001 )  Time stamp start 1526152945866403360 end 1526152945865403360  Run 350144, LB 99, lumi 19.85
Event Veto ['MiniNoiseBurst'], Sat May 12 19:22:55 2018 UTC-Sat May 12 19:22:55 2018 UTC (0.001 )  Time stamp start 1526152975881601235 end 1526152975880601235  Run 350144, LB 100, lumi 20.01
Event Veto ['MiniNoiseBurst'], Sat May 12 19:23:24 2018 UTC-Sat May 12 19:23:24 2018 UTC (0.001 )  Time stamp start 1526153004859135785 end 1526153004858135785  Run 350144, LB 100, lumi 20.01
Event Veto ['NoiseBurst'], Sat May 12 19:23:26 2018 UTC-Sat May 12 19:23:26 2018 UTC (0.001 )  Time stamp start 1526153006988719620 end 1526153006987719495  Run 350144, LB 100, lumi 20.02
Event Veto ['MiniNoiseBurst'], Sat May 12 19:23:28 2018 UTC-Sat May 12 19:23:28 2018 UTC (0.001 )  Time stamp start 1526153008379762055 end 1526153008378762055  Run 350144, LB 100, lumi 20.01
Event Veto ['MiniNoiseBurst'], Sat May 12 19:23:34 2018 UTC-Sat May 12 19:23:34 2018 UTC (0.001 )  Time stamp start 1526153014306991080 end 1526153014305991080  Run 350144, LB 100, lumi 20.01
Event Veto ['MiniNoiseBurst'], Sat May 12 19:23:39 2018 UTC-Sat May 12 19:23:39 2018 UTC (0.001 )  Time stamp start 1526153019095901980 end 1526153019094901980  Run 350144, LB 101, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sat May 12 19:23:47 2018 UTC-Sat May 12 19:23:47 2018 UTC (0.001 )  Time stamp start 1526153027207958220 end 1526153027206958220  Run 350144, LB 101, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sat May 12 19:24:20 2018 UTC-Sat May 12 19:24:20 2018 UTC (0.001 )  Time stamp start 1526153060784926685 end 1526153060783926685  Run 350144, LB 101, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sat May 12 19:24:23 2018 UTC-Sat May 12 19:24:23 2018 UTC (0.001 )  Time stamp start 1526153063062345445 end 1526153063061345445  Run 350144, LB 101, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sat May 12 19:24:30 2018 UTC-Sat May 12 19:24:30 2018 UTC (0.001 )  Time stamp start 1526153070706609985 end 1526153070705609985  Run 350144, LB 101, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sat May 12 19:24:49 2018 UTC-Sat May 12 19:24:49 2018 UTC (0.001 )  Time stamp start 1526153089810955015 end 1526153089809955015  Run 350144, LB 102, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May 12 19:24:56 2018 UTC-Sat May 12 19:24:56 2018 UTC (0.001 )  Time stamp start 1526153096692397955 end 1526153096691397955  Run 350144, LB 102, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May 12 19:25:08 2018 UTC-Sat May 12 19:25:08 2018 UTC (0.001 )  Time stamp start 1526153108058433795 end 1526153108057433795  Run 350144, LB 102, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May 12 19:25:22 2018 UTC-Sat May 12 19:25:22 2018 UTC (0.001 )  Time stamp start 1526153122876751415 end 1526153122875751415  Run 350144, LB 102, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May 12 19:25:27 2018 UTC-Sat May 12 19:25:27 2018 UTC (0.001 )  Time stamp start 1526153127962372285 end 1526153127961372285  Run 350144, LB 102, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sat May 12 19:25:43 2018 UTC-Sat May 12 19:25:43 2018 UTC (0.001 )  Time stamp start 1526153143752036070 end 1526153143751036070  Run 350144, LB 103, lumi 19.86
Event Veto ['NoiseBurst'], Sat May 12 19:25:53 2018 UTC-Sat May 12 19:25:53 2018 UTC (0.001 )  Time stamp start 1526153153950627760 end 1526153153949531130  Run 350144, LB 103, lumi 21.78
Event Veto ['MiniNoiseBurst'], Sat May 12 19:26:26 2018 UTC-Sat May 12 19:26:26 2018 UTC (0.001 )  Time stamp start 1526153186751223160 end 1526153186750223160  Run 350144, LB 104, lumi 19.82
