Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349841 to 349841
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349841 to run 349841  lasting from Tue May  8 21:59:37 2018 UTC to Wed May  9 00:39:41 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:13 2018 UTC-Tue May  8 23:39:13 2018 UTC (0.001 )  Time stamp start 1525822753944048870 end 1525822753943048870  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:15 2018 UTC-Tue May  8 23:39:15 2018 UTC (0.001 )  Time stamp start 1525822755004290505 end 1525822755003290505  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:18 2018 UTC-Tue May  8 23:39:18 2018 UTC (0.001 )  Time stamp start 1525822758955860355 end 1525822758954860355  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:22 2018 UTC-Tue May  8 23:39:22 2018 UTC (0.001 )  Time stamp start 1525822762118800310 end 1525822762117800310  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:29 2018 UTC-Tue May  8 23:39:29 2018 UTC (0.001 )  Time stamp start 1525822769308040320 end 1525822769307040320  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:37 2018 UTC-Tue May  8 23:39:37 2018 UTC (0.001 )  Time stamp start 1525822777191459260 end 1525822777190459260  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:41 2018 UTC-Tue May  8 23:39:41 2018 UTC (0.001 )  Time stamp start 1525822781861951580 end 1525822781860951580  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:44 2018 UTC-Tue May  8 23:39:44 2018 UTC (0.001 )  Time stamp start 1525822784794537160 end 1525822784793537160  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:45 2018 UTC-Tue May  8 23:39:45 2018 UTC (0.001 )  Time stamp start 1525822785856842620 end 1525822785855842620  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:49 2018 UTC-Tue May  8 23:39:49 2018 UTC (0.001 )  Time stamp start 1525822789411636220 end 1525822789410636220  Run 349841, LB 108, lumi 18.68
Event Veto ['NoiseBurst'], Tue May  8 23:39:50 2018 UTC-Tue May  8 23:39:50 2018 UTC (0.001 )  Time stamp start 1525822790366130345 end 1525822790364856960  Run 349841, LB 108, lumi 23.79
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:51 2018 UTC-Tue May  8 23:39:51 2018 UTC (0.001 )  Time stamp start 1525822791572725005 end 1525822791571725005  Run 349841, LB 108, lumi 18.68
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:58 2018 UTC-Tue May  8 23:39:58 2018 UTC (0.001 )  Time stamp start 1525822798341558720 end 1525822798340558720  Run 349841, LB 109, lumi 18.70
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:59 2018 UTC-Tue May  8 23:39:59 2018 UTC (0.001 )  Time stamp start 1525822799136933820 end 1525822799135933820  Run 349841, LB 109, lumi 18.70
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:59 2018 UTC-Tue May  8 23:39:59 2018 UTC (0.001 )  Time stamp start 1525822799471407580 end 1525822799470407580  Run 349841, LB 109, lumi 18.70
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:01 2018 UTC-Tue May  8 23:40:01 2018 UTC (0.001 )  Time stamp start 1525822801769871010 end 1525822801768871010  Run 349841, LB 109, lumi 18.70
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:16 2018 UTC-Tue May  8 23:40:16 2018 UTC (0.001 )  Time stamp start 1525822816301325060 end 1525822816300325060  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:20 2018 UTC-Tue May  8 23:40:20 2018 UTC (0.001 )  Time stamp start 1525822820682846935 end 1525822820681846935  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:24 2018 UTC-Tue May  8 23:40:24 2018 UTC (0.001 )  Time stamp start 1525822824148468365 end 1525822824147468365  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:36 2018 UTC-Tue May  8 23:40:36 2018 UTC (0.001 )  Time stamp start 1525822836075908320 end 1525822836074908320  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:44 2018 UTC-Tue May  8 23:40:44 2018 UTC (0.001 )  Time stamp start 1525822844931879500 end 1525822844930879500  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:47 2018 UTC-Tue May  8 23:40:47 2018 UTC (0.001 )  Time stamp start 1525822847753364780 end 1525822847752364780  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:55 2018 UTC-Tue May  8 23:40:55 2018 UTC (0.001 )  Time stamp start 1525822855561032670 end 1525822855560032670  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:56 2018 UTC-Tue May  8 23:40:56 2018 UTC (0.001 )  Time stamp start 1525822856982811860 end 1525822856981811860  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:40:58 2018 UTC-Tue May  8 23:40:58 2018 UTC (0.001 )  Time stamp start 1525822858124820040 end 1525822858123820040  Run 349841, LB 110, lumi 18.59
Event Veto ['MiniNoiseBurst'], Tue May  8 23:41:07 2018 UTC-Tue May  8 23:41:07 2018 UTC (0.001 )  Time stamp start 1525822867141022040 end 1525822867140022040  Run 349841, LB 110, lumi 18.59
