Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 358115 to 358115
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 358115 to run 358115  lasting from Sat Aug 11 21:22:20 2018 UTC to Sun Aug 12 09:40:35 2018 UTC
Event Veto ['NoiseBurst'], Sat Aug 11 22:56:32 2018 UTC-Sat Aug 11 22:56:32 2018 UTC (0.001 )  Time stamp start 1534028192247884265 end 1534028192246883645  Run 358115, LB 138, lumi 17.57
Event Veto ['MiniNoiseBurst'], Sat Aug 11 22:56:44 2018 UTC-Sat Aug 11 22:56:44 2018 UTC (0.001 )  Time stamp start 1534028204848201585 end 1534028204847201585  Run 358115, LB 138, lumi 17.56
Event Veto ['MiniNoiseBurst'], Sat Aug 11 22:59:24 2018 UTC-Sat Aug 11 22:59:24 2018 UTC (0.001 )  Time stamp start 1534028364031269180 end 1534028364030269180  Run 358115, LB 142, lumi 17.42
Event Veto ['NoiseBurst'], Sat Aug 11 22:59:29 2018 UTC-Sat Aug 11 22:59:29 2018 UTC (0.001 )  Time stamp start 1534028369879501375 end 1534028369878500875  Run 358115, LB 142, lumi 17.43
Event Veto ['MiniNoiseBurst'], Sat Aug 11 23:02:16 2018 UTC-Sat Aug 11 23:02:16 2018 UTC (0.001 )  Time stamp start 1534028536820433995 end 1534028536819433995  Run 358115, LB 145, lumi 17.26
Event Veto ['NoiseBurst'], Sat Aug 11 23:02:20 2018 UTC-Sat Aug 11 23:02:20 2018 UTC (0.001 )  Time stamp start 1534028540423335840 end 1534028540422335220  Run 358115, LB 145, lumi 17.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Aug 11 23:02:29 2018 UTC-Sat Aug 11 23:02:29 2018 UTC (0.001 )  Time stamp start 1534028549013934170 end 1534028549012934170  Run 358115, LB 145, lumi 17.26
Event Veto ['NoiseBurst'], Sat Aug 11 23:09:29 2018 UTC-Sat Aug 11 23:09:29 2018 UTC (0.001 )  Time stamp start 1534028969294847235 end 1534028969293846235  Run 358115, LB 152, lumi 16.98
Event Veto ['NoiseBurst'], Sat Aug 11 23:11:28 2018 UTC-Sat Aug 11 23:11:28 2018 UTC (0.001 )  Time stamp start 1534029088523069955 end 1534029088522068960  Run 358115, LB 155, lumi 16.90
Event Veto ['NoiseBurst'], Sat Aug 11 23:11:40 2018 UTC-Sat Aug 11 23:11:40 2018 UTC (0.001 )  Time stamp start 1534029100928752745 end 1534029100927752245  Run 358115, LB 155, lumi 16.89
