Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337263 to 337263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337263 to run 337263  lasting from Thu Oct  5 15:35:36 2017 UTC to Fri Oct  6 07:58:59 2017 UTC
Event Veto ['DataCorruption'], Thu Oct  5 18:58:00 2017 UTC-Thu Oct  5 18:58:01 2017 UTC (0.500 )  Time stamp start 1507229881088849525 end 1507229880588826370  Run 337263, LB 212, lumi 7646.06
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:01 2017 UTC-Thu Oct  5 18:58:01 2017 UTC (0.001 )  Time stamp start 1507229881968533705 end 1507229881967532505  Run 337263, LB 212, lumi 15.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:03 2017 UTC-Thu Oct  5 18:58:03 2017 UTC (0.001 )  Time stamp start 1507229883548209995 end 1507229883547209995  Run 337263, LB 212, lumi 15.29
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:05 2017 UTC-Thu Oct  5 18:58:05 2017 UTC (0.001 )  Time stamp start 1507229885753114860 end 1507229885752114735  Run 337263, LB 212, lumi 15.29
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:07 2017 UTC-Thu Oct  5 18:58:07 2017 UTC (0.001 )  Time stamp start 1507229887352777515 end 1507229887351777515  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:09 2017 UTC-Thu Oct  5 18:58:09 2017 UTC (0.001 )  Time stamp start 1507229889275032920 end 1507229889274032570  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:10 2017 UTC-Thu Oct  5 18:58:10 2017 UTC (0.001 )  Time stamp start 1507229890948184310 end 1507229890947183660  Run 337263, LB 212, lumi 15.30
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:13 2017 UTC-Thu Oct  5 18:58:13 2017 UTC (0.001 )  Time stamp start 1507229893084839670 end 1507229893083839545  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:14 2017 UTC-Thu Oct  5 18:58:14 2017 UTC (0.001 )  Time stamp start 1507229894697940645 end 1507229894696940270  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:16 2017 UTC-Thu Oct  5 18:58:16 2017 UTC (0.001 )  Time stamp start 1507229896892493545 end 1507229896891492425  Run 337263, LB 212, lumi 15.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:18 2017 UTC-Thu Oct  5 18:58:18 2017 UTC (0.001 )  Time stamp start 1507229898367864895 end 1507229898366864895  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:21 2017 UTC-Thu Oct  5 18:58:21 2017 UTC (0.001 )  Time stamp start 1507229901978588025 end 1507229901977587900  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:23 2017 UTC-Thu Oct  5 18:58:23 2017 UTC (0.001 )  Time stamp start 1507229903878902945 end 1507229903877902570  Run 337263, LB 213, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:25 2017 UTC-Thu Oct  5 18:58:25 2017 UTC (0.001 )  Time stamp start 1507229905581826255 end 1507229905580826255  Run 337263, LB 213, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:27 2017 UTC-Thu Oct  5 18:58:27 2017 UTC (0.001 )  Time stamp start 1507229907035224010 end 1507229907034223885  Run 337263, LB 213, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:58:28 2017 UTC-Thu Oct  5 18:58:28 2017 UTC (0.001 )  Time stamp start 1507229908892015760 end 1507229908891015760  Run 337263, LB 213, lumi 15.25
