Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337176 to 337176
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337176 to run 337176  lasting from Wed Oct  4 07:13:52 2017 UTC to Wed Oct  4 21:24:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:47 2017 UTC-Wed Oct  4 09:15:47 2017 UTC (0.001 )  Time stamp start 1507108547256900660 end 1507108547255900660  Run 337176, LB 127, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:09 2017 UTC-Wed Oct  4 09:16:09 2017 UTC (0.001 )  Time stamp start 1507108569607218615 end 1507108569606218615  Run 337176, LB 127, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:29 2017 UTC-Wed Oct  4 09:16:29 2017 UTC (0.001 )  Time stamp start 1507108589401086995 end 1507108589400086695  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:30 2017 UTC-Wed Oct  4 09:16:30 2017 UTC (0.001 )  Time stamp start 1507108590906908625 end 1507108590905908275  Run 337176, LB 128, lumi 5.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:16:34 2017 UTC-Wed Oct  4 09:16:34 2017 UTC (0.002 )  Time stamp start 1507108594334098795 end 1507108594332512230  Run 337176, LB 128, lumi 9.48
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:36 2017 UTC-Wed Oct  4 09:16:36 2017 UTC (0.001 )  Time stamp start 1507108596188280460 end 1507108596187280160  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:36 2017 UTC-Wed Oct  4 09:16:36 2017 UTC (0.001 )  Time stamp start 1507108596357110315 end 1507108596356110315  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:38 2017 UTC-Wed Oct  4 09:16:38 2017 UTC (0.001 )  Time stamp start 1507108598288288760 end 1507108598286936880  Run 337176, LB 128, lumi 8.07
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:39 2017 UTC-Wed Oct  4 09:16:39 2017 UTC (0.001 )  Time stamp start 1507108599631095210 end 1507108599630095210  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:40 2017 UTC-Wed Oct  4 09:16:40 2017 UTC (0.001 )  Time stamp start 1507108600406726555 end 1507108600405725880  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:42 2017 UTC-Wed Oct  4 09:16:42 2017 UTC (0.001 )  Time stamp start 1507108602539649550 end 1507108602538649125  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:45 2017 UTC-Wed Oct  4 09:16:45 2017 UTC (0.001 )  Time stamp start 1507108605526562635 end 1507108605525562235  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:46 2017 UTC-Wed Oct  4 09:16:46 2017 UTC (0.001 )  Time stamp start 1507108606489698240 end 1507108606488698240  Run 337176, LB 128, lumi 5.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:16:47 2017 UTC-Wed Oct  4 09:16:47 2017 UTC (0.001 )  Time stamp start 1507108607167693870 end 1507108607166693870  Run 337176, LB 128, lumi 5.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:16:48 2017 UTC-Wed Oct  4 09:16:48 2017 UTC (0.001 )  Time stamp start 1507108608902149360 end 1507108608901149235  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:51 2017 UTC-Wed Oct  4 09:16:51 2017 UTC (0.001 )  Time stamp start 1507108611172287500 end 1507108611171287075  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:53 2017 UTC-Wed Oct  4 09:16:53 2017 UTC (0.001 )  Time stamp start 1507108613489462300 end 1507108613488461800  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:56 2017 UTC-Wed Oct  4 09:16:56 2017 UTC (0.001 )  Time stamp start 1507108616457773415 end 1507108616456772390  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:58 2017 UTC-Wed Oct  4 09:16:58 2017 UTC (0.001 )  Time stamp start 1507108618650524340 end 1507108618649524340  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:58 2017 UTC-Wed Oct  4 09:16:58 2017 UTC (0.000 )  Time stamp start 1507108618950333575 end 1507108618950035490  Run 337176, LB 128, lumi 1.78
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:16:58 2017 UTC-Wed Oct  4 09:16:58 2017 UTC (0.001 )  Time stamp start 1507108618951334525 end 1507108618950333575  Run 337176, LB 128, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:17:00 2017 UTC-Wed Oct  4 09:17:00 2017 UTC (0.001 )  Time stamp start 1507108620021758360 end 1507108620020758360  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:17:00 2017 UTC-Wed Oct  4 09:17:00 2017 UTC (0.001 )  Time stamp start 1507108620954659655 end 1507108620953658285  Run 337176, LB 128, lumi 5.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:17:03 2017 UTC-Wed Oct  4 09:17:03 2017 UTC (0.001 )  Time stamp start 1507108623430046425 end 1507108623429046425  Run 337176, LB 128, lumi 5.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:17:04 2017 UTC-Wed Oct  4 09:17:04 2017 UTC (0.001 )  Time stamp start 1507108624337864245 end 1507108624336864245  Run 337176, LB 128, lumi 5.97
