Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333904 to 333904
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333904 to run 333904  lasting from Tue Aug 22 20:52:45 2017 UTC to Wed Aug 23 05:15:26 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:29:58 2017 UTC-Tue Aug 22 23:29:58 2017 UTC (0.001 )  Time stamp start 1503444598504068710 end 1503444598503068710  Run 333904, LB 168, lumi 8.94
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:30:12 2017 UTC-Tue Aug 22 23:30:12 2017 UTC (0.001 )  Time stamp start 1503444612905803860 end 1503444612904803860  Run 333904, LB 169, lumi 8.93
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:30:57 2017 UTC-Tue Aug 22 23:30:57 2017 UTC (0.000 )  Time stamp start 1503444657480246955 end 1503444657480246580  Run 333904, LB 169, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:30:57 2017 UTC-Tue Aug 22 23:30:57 2017 UTC (0.001 )  Time stamp start 1503444657481247205 end 1503444657480246955  Run 333904, LB 169, lumi 8.93
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:31:44 2017 UTC-Tue Aug 22 23:31:44 2017 UTC (0.001 )  Time stamp start 1503444704489509510 end 1503444704488509510  Run 333904, LB 172, lumi 8.90
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:31:52 2017 UTC-Tue Aug 22 23:31:52 2017 UTC (0.001 )  Time stamp start 1503444712161092110 end 1503444712160092110  Run 333904, LB 172, lumi 8.90
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:31:56 2017 UTC-Tue Aug 22 23:31:56 2017 UTC (0.001 )  Time stamp start 1503444716048247340 end 1503444716047246840  Run 333904, LB 172, lumi 8.91
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:33:54 2017 UTC-Tue Aug 22 23:33:54 2017 UTC (0.001 )  Time stamp start 1503444834886995420 end 1503444834885995420  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:33:55 2017 UTC-Tue Aug 22 23:33:55 2017 UTC (0.000 )  Time stamp start 1503444835274738550 end 1503444835274737925  Run 333904, LB 175, lumi 0.01
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:33:55 2017 UTC-Tue Aug 22 23:33:55 2017 UTC (0.001 )  Time stamp start 1503444835275738675 end 1503444835274738550  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:06 2017 UTC-Tue Aug 22 23:34:06 2017 UTC (0.001 )  Time stamp start 1503444846897141560 end 1503444846896141560  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:08 2017 UTC-Tue Aug 22 23:34:08 2017 UTC (0.001 )  Time stamp start 1503444848312837950 end 1503444848311837950  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:11 2017 UTC-Tue Aug 22 23:34:11 2017 UTC (0.001 )  Time stamp start 1503444851119077060 end 1503444851118077060  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:18 2017 UTC-Tue Aug 22 23:34:18 2017 UTC (0.000 )  Time stamp start 1503444858347650920 end 1503444858347650420  Run 333904, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:18 2017 UTC-Tue Aug 22 23:34:18 2017 UTC (0.001 )  Time stamp start 1503444858348651045 end 1503444858347650920  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:40 2017 UTC-Tue Aug 22 23:34:40 2017 UTC (0.001 )  Time stamp start 1503444880387067745 end 1503444880386067450  Run 333904, LB 175, lumi 8.85
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:34:54 2017 UTC-Tue Aug 22 23:34:54 2017 UTC (0.001 )  Time stamp start 1503444894169151570 end 1503444894168151195  Run 333904, LB 176, lumi 8.83
