Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306655 to 306655
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306655 to run 306655  lasting from Fri Aug 19 14:36:13 2016 UTC to Fri Aug 19 19:22:16 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:57:42 2016 UTC-Fri Aug 19 15:57:42 2016 UTC (0.010 )  Time stamp start 1471622262945704305 end 1471622262935704305  Run 306655, LB 87, lumi 58.18
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:58:26 2016 UTC-Fri Aug 19 15:58:26 2016 UTC (0.010 )  Time stamp start 1471622306540918550 end 1471622306530918550  Run 306655, LB 88, lumi 58.07
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:58:32 2016 UTC-Fri Aug 19 15:58:33 2016 UTC (0.010 )  Time stamp start 1471622313007607095 end 1471622312997607095  Run 306655, LB 88, lumi 58.07
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:00:06 2016 UTC-Fri Aug 19 16:00:06 2016 UTC (0.010 )  Time stamp start 1471622406697443125 end 1471622406687443125  Run 306655, LB 90, lumi 58.00
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:01:02 2016 UTC-Fri Aug 19 16:01:02 2016 UTC (0.010 )  Time stamp start 1471622462936486110 end 1471622462926486110  Run 306655, LB 91, lumi 57.93
Event Veto ['NoiseBurst'], Fri Aug 19 16:01:27 2016 UTC-Fri Aug 19 16:01:27 2016 UTC (0.010 )  Time stamp start 1471622487218883350 end 1471622487208883150  Run 306655, LB 91, lumi 57.93
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:01:44 2016 UTC-Fri Aug 19 16:01:44 2016 UTC (0.010 )  Time stamp start 1471622504521552425 end 1471622504511552425  Run 306655, LB 91, lumi 57.93
Event Veto ['NoiseBurst'], Fri Aug 19 16:01:47 2016 UTC-Fri Aug 19 16:01:47 2016 UTC (0.010 )  Time stamp start 1471622507182393260 end 1471622507172392360  Run 306655, LB 91, lumi 57.93
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:02:46 2016 UTC-Fri Aug 19 16:02:46 2016 UTC (0.010 )  Time stamp start 1471622566412273255 end 1471622566402273255  Run 306655, LB 92, lumi 57.82
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:03:12 2016 UTC-Fri Aug 19 16:03:12 2016 UTC (0.010 )  Time stamp start 1471622592654093875 end 1471622592644093875  Run 306655, LB 93, lumi 57.83
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:03:25 2016 UTC-Fri Aug 19 16:03:25 2016 UTC (0.010 )  Time stamp start 1471622605977990240 end 1471622605967990240  Run 306655, LB 93, lumi 57.83
Event Veto ['NoiseBurst'], Fri Aug 19 16:03:52 2016 UTC-Fri Aug 19 16:03:52 2016 UTC (0.010 )  Time stamp start 1471622632101387175 end 1471622632091386775  Run 306655, LB 94, lumi 57.73
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:04:03 2016 UTC-Fri Aug 19 16:04:03 2016 UTC (0.010 )  Time stamp start 1471622643455115495 end 1471622643445115495  Run 306655, LB 94, lumi 57.73
Event Veto ['MiniNoiseBurst'], Fri Aug 19 16:05:28 2016 UTC-Fri Aug 19 16:05:28 2016 UTC (0.010 )  Time stamp start 1471622728698955600 end 1471622728688955600  Run 306655, LB 95, lumi 57.66
Event Veto ['NoiseBurst'], Fri Aug 19 16:05:48 2016 UTC-Fri Aug 19 16:05:48 2016 UTC (0.010 )  Time stamp start 1471622748382790390 end 1471622748372789790  Run 306655, LB 95, lumi 57.66
