Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349842 to 349842
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349842 to run 349842  lasting from Wed May  9 00:48:51 2018 UTC to Wed May  9 06:01:57 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 01:25:30 2018 UTC-Wed May  9 01:25:30 2018 UTC (0.001 )  Time stamp start 1525829130145365605 end 1525829130144365605  Run 349842, LB 45, lumi 15.32
Event Veto ['MiniNoiseBurst'], Wed May  9 01:25:42 2018 UTC-Wed May  9 01:25:42 2018 UTC (0.001 )  Time stamp start 1525829142995078230 end 1525829142994078230  Run 349842, LB 46, lumi 15.29
Event Veto ['MiniNoiseBurst'], Wed May  9 01:25:56 2018 UTC-Wed May  9 01:25:56 2018 UTC (0.001 )  Time stamp start 1525829156725746515 end 1525829156724746515  Run 349842, LB 46, lumi 15.29
Event Veto ['NoiseBurst'], Wed May  9 01:25:57 2018 UTC-Wed May  9 01:25:57 2018 UTC (0.002 )  Time stamp start 1525829157593487365 end 1525829157591638290  Run 349842, LB 46, lumi 28.28
Event Veto ['MiniNoiseBurst'], Wed May  9 01:26:55 2018 UTC-Wed May  9 01:26:55 2018 UTC (0.001 )  Time stamp start 1525829215165157305 end 1525829215164157305  Run 349842, LB 47, lumi 15.28
Event Veto ['MiniNoiseBurst'], Wed May  9 01:27:36 2018 UTC-Wed May  9 01:27:36 2018 UTC (0.001 )  Time stamp start 1525829256474792645 end 1525829256473792645  Run 349842, LB 48, lumi 15.25
Event Veto ['MiniNoiseBurst'], Wed May  9 01:27:46 2018 UTC-Wed May  9 01:27:46 2018 UTC (0.001 )  Time stamp start 1525829266552838365 end 1525829266551838365  Run 349842, LB 48, lumi 15.25
Event Veto ['NoiseBurst'], Wed May  9 01:28:11 2018 UTC-Wed May  9 01:28:11 2018 UTC (0.002 )  Time stamp start 1525829291959762395 end 1525829291957968535  Run 349842, LB 49, lumi 27.31
Event Veto ['MiniNoiseBurst'], Wed May  9 01:28:34 2018 UTC-Wed May  9 01:28:34 2018 UTC (0.002 )  Time stamp start 1525829314229081030 end 1525829314227353765  Run 349842, LB 49, lumi 26.29
Event Veto ['MiniNoiseBurst'], Wed May  9 01:28:47 2018 UTC-Wed May  9 01:28:47 2018 UTC (0.001 )  Time stamp start 1525829327641674155 end 1525829327640674155  Run 349842, LB 49, lumi 15.22
Event Veto ['MiniNoiseBurst'], Wed May  9 01:29:21 2018 UTC-Wed May  9 01:29:21 2018 UTC (0.001 )  Time stamp start 1525829361403765720 end 1525829361402765720  Run 349842, LB 50, lumi 15.16
Event Veto ['MiniNoiseBurst'], Wed May  9 01:29:23 2018 UTC-Wed May  9 01:29:23 2018 UTC (0.001 )  Time stamp start 1525829363838194025 end 1525829363837194025  Run 349842, LB 50, lumi 15.16
Event Veto ['NoiseBurst'], Wed May  9 01:29:34 2018 UTC-Wed May  9 01:29:34 2018 UTC (0.001 )  Time stamp start 1525829374376924620 end 1525829374375923745  Run 349842, LB 50, lumi 15.17
Event Veto ['NoiseBurst'], Wed May  9 01:29:40 2018 UTC-Wed May  9 01:29:40 2018 UTC (0.001 )  Time stamp start 1525829380337366585 end 1525829380336365835  Run 349842, LB 50, lumi 15.17
Event Veto ['MiniNoiseBurst'], Wed May  9 01:30:11 2018 UTC-Wed May  9 01:30:11 2018 UTC (0.001 )  Time stamp start 1525829411854534990 end 1525829411853534990  Run 349842, LB 51, lumi 15.14
Event Veto ['MiniNoiseBurst'], Wed May  9 01:30:33 2018 UTC-Wed May  9 01:30:33 2018 UTC (0.001 )  Time stamp start 1525829433488471645 end 1525829433487471645  Run 349842, LB 51, lumi 15.14
Event Veto ['MiniNoiseBurst'], Wed May  9 01:30:46 2018 UTC-Wed May  9 01:30:46 2018 UTC (0.001 )  Time stamp start 1525829446138993615 end 1525829446137993615  Run 349842, LB 51, lumi 15.14
Event Veto ['MiniNoiseBurst'], Wed May  9 01:30:59 2018 UTC-Wed May  9 01:30:59 2018 UTC (0.001 )  Time stamp start 1525829459352775740 end 1525829459351775740  Run 349842, LB 51, lumi 15.14
Event Veto ['NoiseBurst'], Wed May  9 01:31:10 2018 UTC-Wed May  9 01:31:10 2018 UTC (0.002 )  Time stamp start 1525829470925524490 end 1525829470923289605  Run 349842, LB 52, lumi 33.79
Event Veto ['NoiseBurst'], Wed May  9 01:31:20 2018 UTC-Wed May  9 01:31:20 2018 UTC (0.001 )  Time stamp start 1525829480693499500 end 1525829480692499125  Run 349842, LB 52, lumi 15.12
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May  9 01:31:23 2018 UTC-Wed May  9 01:31:23 2018 UTC (0.001 )  Time stamp start 1525829483182976445 end 1525829483181976445  Run 349842, LB 52, lumi 15.12
Event Veto ['MiniNoiseBurst'], Wed May  9 01:32:18 2018 UTC-Wed May  9 01:32:18 2018 UTC (0.001 )  Time stamp start 1525829538255372205 end 1525829538254372205  Run 349842, LB 53, lumi 15.10
