Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338183 to 338183
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338183 to run 338183  lasting from Fri Oct 13 17:08:29 2017 UTC to Sat Oct 14 09:33:18 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:48 2017 UTC-Fri Oct 13 19:52:48 2017 UTC (0.001 )  Time stamp start 1507924368950122265 end 1507924368949122265  Run 338183, LB 176, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:49 2017 UTC-Fri Oct 13 19:52:49 2017 UTC (0.001 )  Time stamp start 1507924369885530980 end 1507924369884530980  Run 338183, LB 176, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:56 2017 UTC-Fri Oct 13 19:52:56 2017 UTC (0.001 )  Time stamp start 1507924376843290265 end 1507924376842290265  Run 338183, LB 176, lumi 15.26
Event Veto ['NoiseBurst'], Fri Oct 13 19:52:58 2017 UTC-Fri Oct 13 19:52:58 2017 UTC (0.001 )  Time stamp start 1507924378560256495 end 1507924378559255720  Run 338183, LB 176, lumi 15.28
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:56:16 2017 UTC-Fri Oct 13 19:56:16 2017 UTC (0.001 )  Time stamp start 1507924576439723925 end 1507924576438723925  Run 338183, LB 180, lumi 14.94
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:56:20 2017 UTC-Fri Oct 13 19:56:20 2017 UTC (0.001 )  Time stamp start 1507924580457839320 end 1507924580456839320  Run 338183, LB 180, lumi 14.94
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:56:41 2017 UTC-Fri Oct 13 19:56:41 2017 UTC (0.001 )  Time stamp start 1507924601694125235 end 1507924601693125235  Run 338183, LB 181, lumi 14.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:56:41 2017 UTC-Fri Oct 13 19:56:41 2017 UTC (0.001 )  Time stamp start 1507924601923822490 end 1507924601922822490  Run 338183, LB 181, lumi 14.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:57:08 2017 UTC-Fri Oct 13 19:57:08 2017 UTC (0.001 )  Time stamp start 1507924628261035020 end 1507924628260035020  Run 338183, LB 182, lumi 14.85
Event Veto ['NoiseBurst'], Fri Oct 13 19:57:14 2017 UTC-Fri Oct 13 19:57:14 2017 UTC (0.001 )  Time stamp start 1507924634119987935 end 1507924634118987235  Run 338183, LB 182, lumi 14.86
