Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302053 to 302053
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302053 to run 302053  lasting from Tue Jun 14 14:57:24 2016 UTC to Wed Jun 15 11:15:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:48:14 2016 UTC-Tue Jun 14 16:48:14 2016 UTC (0.001 )  Time stamp start 1465922894498049480 end 1465922894497049480  Run 302053, LB 119, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:48:19 2016 UTC-Tue Jun 14 16:48:19 2016 UTC (0.001 )  Time stamp start 1465922899796180120 end 1465922899795180120  Run 302053, LB 119, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:48:40 2016 UTC-Tue Jun 14 16:48:40 2016 UTC (0.001 )  Time stamp start 1465922920649548125 end 1465922920648548125  Run 302053, LB 119, lumi 9.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:48:46 2016 UTC-Tue Jun 14 16:48:46 2016 UTC (0.001 )  Time stamp start 1465922926029057670 end 1465922926028057670  Run 302053, LB 119, lumi 9.37
Event Veto ['NoiseBurst'], Tue Jun 14 16:48:49 2016 UTC-Tue Jun 14 16:48:49 2016 UTC (0.010 )  Time stamp start 1465922929550468140 end 1465922929540467195  Run 302053, LB 119, lumi 93.73
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:48:49 2016 UTC-Tue Jun 14 16:48:49 2016 UTC (0.001 )  Time stamp start 1465922929830511405 end 1465922929829511405  Run 302053, LB 119, lumi 9.37
Event Veto ['NoiseBurst'], Tue Jun 14 16:48:55 2016 UTC-Tue Jun 14 16:48:55 2016 UTC (0.010 )  Time stamp start 1465922935971117245 end 1465922935961116150  Run 302053, LB 119, lumi 93.73
Event Veto ['NoiseBurst'], Tue Jun 14 16:49:05 2016 UTC-Tue Jun 14 16:49:05 2016 UTC (0.010 )  Time stamp start 1465922945269270930 end 1465922945259270530  Run 302053, LB 119, lumi 93.73
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:07 2016 UTC-Tue Jun 14 16:49:07 2016 UTC (0.001 )  Time stamp start 1465922947124091770 end 1465922947123091770  Run 302053, LB 119, lumi 9.37
Event Veto ['NoiseBurst'], Tue Jun 14 16:49:09 2016 UTC-Tue Jun 14 16:49:09 2016 UTC (0.010 )  Time stamp start 1465922949895112570 end 1465922949885112120  Run 302053, LB 120, lumi 93.99
