Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341312 to 341312
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341312 to run 341312  lasting from Tue Nov 21 20:30:19 2017 UTC to Wed Nov 22 08:07:00 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:49 2017 UTC-Tue Nov 21 21:52:49 2017 UTC (0.001 )  Time stamp start 1511301169564165820 end 1511301169563165820  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:49 2017 UTC-Tue Nov 21 21:52:49 2017 UTC (0.001 )  Time stamp start 1511301169706804710 end 1511301169705442050  Run 341312, LB 134, lumi 8.41
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:50 2017 UTC-Tue Nov 21 21:52:50 2017 UTC (0.001 )  Time stamp start 1511301170988555925 end 1511301170987555925  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:57 2017 UTC-Tue Nov 21 21:52:57 2017 UTC (0.001 )  Time stamp start 1511301177300520345 end 1511301177299520345  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:57 2017 UTC-Tue Nov 21 21:52:57 2017 UTC (0.001 )  Time stamp start 1511301177367759515 end 1511301177366759515  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:57 2017 UTC-Tue Nov 21 21:52:57 2017 UTC (0.001 )  Time stamp start 1511301177401148245 end 1511301177400083025  Run 341312, LB 134, lumi 6.57
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:57 2017 UTC-Tue Nov 21 21:52:57 2017 UTC (0.001 )  Time stamp start 1511301177512122475 end 1511301177511122475  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:57 2017 UTC-Tue Nov 21 21:52:57 2017 UTC (0.001 )  Time stamp start 1511301177697547535 end 1511301177696532515  Run 341312, LB 134, lumi 6.26
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:58 2017 UTC-Tue Nov 21 21:52:58 2017 UTC (0.001 )  Time stamp start 1511301178068820650 end 1511301178067820650  Run 341312, LB 134, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:58 2017 UTC-Tue Nov 21 21:52:58 2017 UTC (0.002 )  Time stamp start 1511301178489789875 end 1511301178487790250  Run 341312, LB 134, lumi 12.34
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:59 2017 UTC-Tue Nov 21 21:52:59 2017 UTC (0.001 )  Time stamp start 1511301179285913500 end 1511301179284913500  Run 341312, LB 135, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:59 2017 UTC-Tue Nov 21 21:52:59 2017 UTC (0.001 )  Time stamp start 1511301179586650450 end 1511301179585336245  Run 341312, LB 135, lumi 8.11
