Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331742 to 331742
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331742 to run 331742  lasting from Fri Aug  4 10:51:04 2017 UTC to Sat Aug  5 02:27:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:43:25 2017 UTC-Fri Aug  4 12:43:25 2017 UTC (0.001 )  Time stamp start 1501850605692161255 end 1501850605691161255  Run 331742, LB 127, lumi 14.41
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:43:50 2017 UTC-Fri Aug  4 12:43:50 2017 UTC (0.001 )  Time stamp start 1501850630654368335 end 1501850630653368085  Run 331742, LB 127, lumi 14.42
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:44:56 2017 UTC-Fri Aug  4 12:44:56 2017 UTC (0.001 )  Time stamp start 1501850696619751000 end 1501850696618751000  Run 331742, LB 128, lumi 14.39
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:45:00 2017 UTC-Fri Aug  4 12:45:00 2017 UTC (0.001 )  Time stamp start 1501850700021553665 end 1501850700020553665  Run 331742, LB 128, lumi 14.39
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:45:03 2017 UTC-Fri Aug  4 12:45:03 2017 UTC (0.001 )  Time stamp start 1501850703708771760 end 1501850703707771760  Run 331742, LB 128, lumi 14.39
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:45:25 2017 UTC-Fri Aug  4 12:45:25 2017 UTC (0.001 )  Time stamp start 1501850725610652390 end 1501850725609652390  Run 331742, LB 129, lumi 14.37
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:45:37 2017 UTC-Fri Aug  4 12:45:37 2017 UTC (0.001 )  Time stamp start 1501850737495978070 end 1501850737494978070  Run 331742, LB 129, lumi 14.37
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:45:48 2017 UTC-Fri Aug  4 12:45:48 2017 UTC (0.001 )  Time stamp start 1501850748605308800 end 1501850748604308800  Run 331742, LB 129, lumi 14.37
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:46:26 2017 UTC-Fri Aug  4 12:46:26 2017 UTC (0.001 )  Time stamp start 1501850786365177200 end 1501850786364177200  Run 331742, LB 130, lumi 14.35
Event Veto ['NoiseBurst'], Fri Aug  4 12:47:11 2017 UTC-Fri Aug  4 12:47:11 2017 UTC (0.001 )  Time stamp start 1501850831058454685 end 1501850831057358175  Run 331742, LB 131, lumi 15.71
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:47:12 2017 UTC-Fri Aug  4 12:47:12 2017 UTC (0.001 )  Time stamp start 1501850832250058250 end 1501850832249058250  Run 331742, LB 131, lumi 14.33
