Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307306 to 307306
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307306 to run 307306  lasting from Sat Aug 27 08:42:12 2016 UTC to Sat Aug 27 15:42:35 2016 UTC
Event Veto ['NoiseBurst'], Sat Aug 27 09:22:42 2016 UTC-Sat Aug 27 09:22:42 2016 UTC (0.010 )  Time stamp start 1472289762233434355 end 1472289762223275415  Run 307306, LB 48, lumi 107.59
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:22:53 2016 UTC-Sat Aug 27 09:22:53 2016 UTC (0.010 )  Time stamp start 1472289773606164615 end 1472289773596164215  Run 307306, LB 48, lumi 105.92
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:23:03 2016 UTC-Sat Aug 27 09:23:03 2016 UTC (0.010 )  Time stamp start 1472289783263221505 end 1472289783253221505  Run 307306, LB 48, lumi 105.91
Event Veto ['NoiseBurst'], Sat Aug 27 09:23:29 2016 UTC-Sat Aug 27 09:23:29 2016 UTC (0.010 )  Time stamp start 1472289809816833000 end 1472289809806681125  Run 307306, LB 49, lumi 107.34
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:23:39 2016 UTC-Sat Aug 27 09:23:39 2016 UTC (0.010 )  Time stamp start 1472289819395651560 end 1472289819385651560  Run 307306, LB 49, lumi 105.73
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:23:56 2016 UTC-Sat Aug 27 09:23:56 2016 UTC (0.010 )  Time stamp start 1472289836261545945 end 1472289836251545820  Run 307306, LB 49, lumi 105.73
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:24:34 2016 UTC-Sat Aug 27 09:24:34 2016 UTC (0.010 )  Time stamp start 1472289874587841360 end 1472289874577841360  Run 307306, LB 51, lumi 105.39
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:24:53 2016 UTC-Sat Aug 27 09:24:53 2016 UTC (0.010 )  Time stamp start 1472289893971138905 end 1472289893961138905  Run 307306, LB 51, lumi 105.39
Event Veto ['NoiseBurst'], Sat Aug 27 09:25:09 2016 UTC-Sat Aug 27 09:25:09 2016 UTC (0.010 )  Time stamp start 1472289909676716940 end 1472289909666716815  Run 307306, LB 51, lumi 105.39
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:25:23 2016 UTC-Sat Aug 27 09:25:23 2016 UTC (0.010 )  Time stamp start 1472289923632292635 end 1472289923622292635  Run 307306, LB 52, lumi 105.29
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:26:00 2016 UTC-Sat Aug 27 09:26:00 2016 UTC (0.010 )  Time stamp start 1472289960974843870 end 1472289960964843620  Run 307306, LB 52, lumi 105.30
Event Veto ['NoiseBurst'], Sat Aug 27 09:26:14 2016 UTC-Sat Aug 27 09:26:14 2016 UTC (0.010 )  Time stamp start 1472289974652092135 end 1472289974641933420  Run 307306, LB 52, lumi 106.96
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:26:17 2016 UTC-Sat Aug 27 09:26:17 2016 UTC (0.010 )  Time stamp start 1472289977232821295 end 1472289977222821295  Run 307306, LB 52, lumi 105.29
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:26:27 2016 UTC-Sat Aug 27 09:26:27 2016 UTC (0.010 )  Time stamp start 1472289987238010455 end 1472289987228010205  Run 307306, LB 53, lumi 105.00
Event Veto ['NoiseBurst'], Sat Aug 27 09:26:41 2016 UTC-Sat Aug 27 09:26:41 2016 UTC (0.010 )  Time stamp start 1472290001516647360 end 1472290001506610610  Run 307306, LB 53, lumi 105.39
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:26:44 2016 UTC-Sat Aug 27 09:26:44 2016 UTC (0.010 )  Time stamp start 1472290004031604800 end 1472290004021604800  Run 307306, LB 53, lumi 105.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:27:04 2016 UTC-Sat Aug 27 09:27:04 2016 UTC (0.010 )  Time stamp start 1472290024092570190 end 1472290024082570190  Run 307306, LB 53, lumi 105.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:27:10 2016 UTC-Sat Aug 27 09:27:10 2016 UTC (0.010 )  Time stamp start 1472290030953153630 end 1472290030943153630  Run 307306, LB 53, lumi 105.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:27:17 2016 UTC-Sat Aug 27 09:27:17 2016 UTC (0.010 )  Time stamp start 1472290037559712885 end 1472290037549712760  Run 307306, LB 53, lumi 105.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:27:24 2016 UTC-Sat Aug 27 09:27:24 2016 UTC (0.010 )  Time stamp start 1472290044186794895 end 1472290044176794895  Run 307306, LB 54, lumi 104.93
