Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303338 to 303338
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303338 to run 303338  lasting from Tue Jul  5 23:33:17 2016 UTC to Thu Jul  7 04:20:15 2016 UTC
Event Veto ['NoiseBurst'], Wed Jul  6 03:00:30 2016 UTC-Wed Jul  6 03:00:30 2016 UTC (0.010 )  Time stamp start 1467774030935150120 end 1467774030925149375  Run 303338, LB 218, lumi 100.08
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:00:32 2016 UTC-Wed Jul  6 03:00:32 2016 UTC (0.001 )  Time stamp start 1467774032469491155 end 1467774032468491155  Run 303338, LB 218, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:03 2016 UTC-Wed Jul  6 03:01:03 2016 UTC (0.010 )  Time stamp start 1467774063014370865 end 1467774063004370365  Run 303338, LB 219, lumi 100.07
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 03:01:07 2016 UTC-Wed Jul  6 03:01:07 2016 UTC (0.001 )  Time stamp start 1467774067229737220 end 1467774067228736920  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:09 2016 UTC-Wed Jul  6 03:01:09 2016 UTC (0.010 )  Time stamp start 1467774069481216745 end 1467774069471178070  Run 303338, LB 219, lumi 100.45
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:14 2016 UTC-Wed Jul  6 03:01:14 2016 UTC (0.001 )  Time stamp start 1467774074481182305 end 1467774074480182180  Run 303338, LB 219, lumi 10.01
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:17 2016 UTC-Wed Jul  6 03:01:17 2016 UTC (0.001 )  Time stamp start 1467774077959965485 end 1467774077958965485  Run 303338, LB 219, lumi 10.01
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:21 2016 UTC-Wed Jul  6 03:01:21 2016 UTC (0.001 )  Time stamp start 1467774081868824945 end 1467774081867824195  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:26 2016 UTC-Wed Jul  6 03:01:26 2016 UTC (0.010 )  Time stamp start 1467774086115703950 end 1467774086105702730  Run 303338, LB 219, lumi 100.08
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:27 2016 UTC-Wed Jul  6 03:01:27 2016 UTC (0.010 )  Time stamp start 1467774087348835780 end 1467774087338775725  Run 303338, LB 219, lumi 100.67
