Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:41 2016 UTC-Thu Aug 25 20:55:41 2016 UTC (0.010 )  Time stamp start 1472158541718974780 end 1472158541708974780  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:47 2016 UTC-Thu Aug 25 20:55:47 2016 UTC (0.010 )  Time stamp start 1472158547099605040 end 1472158547089604915  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:52 2016 UTC-Thu Aug 25 20:55:52 2016 UTC (0.010 )  Time stamp start 1472158552385205275 end 1472158552375205275  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:57 2016 UTC-Thu Aug 25 20:55:57 2016 UTC (0.010 )  Time stamp start 1472158557388606720 end 1472158557378606445  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:01 2016 UTC-Thu Aug 25 20:56:01 2016 UTC (0.010 )  Time stamp start 1472158561158473230 end 1472158561148473055  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:04 2016 UTC-Thu Aug 25 20:56:04 2016 UTC (0.010 )  Time stamp start 1472158564950475760 end 1472158564940475760  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:08 2016 UTC-Thu Aug 25 20:56:08 2016 UTC (0.010 )  Time stamp start 1472158568856145400 end 1472158568846145400  Run 307195, LB 260, lumi 86.04
Event Veto ['NoiseBurst'], Thu Aug 25 20:56:11 2016 UTC-Thu Aug 25 20:56:11 2016 UTC (0.010 )  Time stamp start 1472158571069049005 end 1472158571059029445  Run 307195, LB 260, lumi 86.20
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:12 2016 UTC-Thu Aug 25 20:56:12 2016 UTC (0.010 )  Time stamp start 1472158572667695110 end 1472158572657695110  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:16 2016 UTC-Thu Aug 25 20:56:16 2016 UTC (0.010 )  Time stamp start 1472158576493373230 end 1472158576483373230  Run 307195, LB 260, lumi 86.04
