Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304494 to 304494
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304494 to run 304494  lasting from Mon Jul 25 17:05:03 2016 UTC to Mon Jul 25 21:41:45 2016 UTC
Event Veto ['NoiseBurst'], Mon Jul 25 19:46:42 2016 UTC-Mon Jul 25 19:46:42 2016 UTC (0.010 )  Time stamp start 1469476002346878280 end 1469476002336858470  Run 304494, LB 168, lumi 118.41
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:46:50 2016 UTC-Mon Jul 25 19:46:50 2016 UTC (0.001 )  Time stamp start 1469476010226466200 end 1469476010225466075  Run 304494, LB 168, lumi 11.82
Event Veto ['NoiseBurst'], Mon Jul 25 19:46:53 2016 UTC-Mon Jul 25 19:46:53 2016 UTC (0.010 )  Time stamp start 1469476013638344685 end 1469476013628250670  Run 304494, LB 168, lumi 119.29
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:47:29 2016 UTC-Mon Jul 25 19:47:29 2016 UTC (0.001 )  Time stamp start 1469476049545170900 end 1469476049544170900  Run 304494, LB 169, lumi 11.80
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:47:38 2016 UTC-Mon Jul 25 19:47:38 2016 UTC (0.001 )  Time stamp start 1469476058844445380 end 1469476058843445380  Run 304494, LB 169, lumi 11.80
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:47:42 2016 UTC-Mon Jul 25 19:47:42 2016 UTC (0.001 )  Time stamp start 1469476062455650650 end 1469476062454650650  Run 304494, LB 169, lumi 11.80
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:47:42 2016 UTC-Mon Jul 25 19:47:42 2016 UTC (0.001 )  Time stamp start 1469476062687542370 end 1469476062686542370  Run 304494, LB 169, lumi 11.80
Event Veto ['NoiseBurst'], Mon Jul 25 19:48:01 2016 UTC-Mon Jul 25 19:48:01 2016 UTC (0.010 )  Time stamp start 1469476081535358440 end 1469476081525358140  Run 304494, LB 170, lumi 117.72
Event Veto ['NoiseBurst'], Mon Jul 25 19:48:22 2016 UTC-Mon Jul 25 19:48:22 2016 UTC (0.010 )  Time stamp start 1469476102057560620 end 1469476102047560120  Run 304494, LB 170, lumi 117.73
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:48:33 2016 UTC-Mon Jul 25 19:48:33 2016 UTC (0.001 )  Time stamp start 1469476113641700205 end 1469476113640700205  Run 304494, LB 170, lumi 11.77
