Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355544 to 355544
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355544 to run 355544  lasting from Sat Jul 14 16:53:57 2018 UTC to Sun Jul 15 04:35:14 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:30:06 2018 UTC-Sat Jul 14 19:30:06 2018 UTC (0.001 )  Time stamp start 1531596606802615400 end 1531596606801615400  Run 355544, LB 206, lumi 17.36
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:30:16 2018 UTC-Sat Jul 14 19:30:16 2018 UTC (0.001 )  Time stamp start 1531596616904252950 end 1531596616903252950  Run 355544, LB 206, lumi 17.36
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:31:13 2018 UTC-Sat Jul 14 19:31:13 2018 UTC (0.001 )  Time stamp start 1531596673988876025 end 1531596673987876025  Run 355544, LB 207, lumi 17.34
Event Veto ['NoiseBurst'], Sat Jul 14 19:31:20 2018 UTC-Sat Jul 14 19:31:20 2018 UTC (0.001 )  Time stamp start 1531596680809428255 end 1531596680808427885  Run 355544, LB 207, lumi 17.34
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:31:32 2018 UTC-Sat Jul 14 19:31:32 2018 UTC (0.001 )  Time stamp start 1531596692070077480 end 1531596692069077480  Run 355544, LB 207, lumi 17.34
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:31:34 2018 UTC-Sat Jul 14 19:31:34 2018 UTC (0.002 )  Time stamp start 1531596694496495055 end 1531596694494795260  Run 355544, LB 207, lumi 29.47
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:31:44 2018 UTC-Sat Jul 14 19:31:44 2018 UTC (0.001 )  Time stamp start 1531596704996661585 end 1531596704995661585  Run 355544, LB 207, lumi 17.34
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:32:37 2018 UTC-Sat Jul 14 19:32:37 2018 UTC (0.001 )  Time stamp start 1531596757701543125 end 1531596757700543125  Run 355544, LB 208, lumi 17.27
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:33:41 2018 UTC-Sat Jul 14 19:33:41 2018 UTC (0.001 )  Time stamp start 1531596821918576670 end 1531596821917576220  Run 355544, LB 209, lumi 17.22
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:34:15 2018 UTC-Sat Jul 14 19:34:15 2018 UTC (0.001 )  Time stamp start 1531596855430300450 end 1531596855429300450  Run 355544, LB 211, lumi 17.22
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:34:35 2018 UTC-Sat Jul 14 19:34:35 2018 UTC (0.001 )  Time stamp start 1531596875024731545 end 1531596875023731545  Run 355544, LB 211, lumi 17.22
