Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339500 to 339500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339500 to run 339500  lasting from Mon Oct 30 10:56:22 2017 UTC to Mon Oct 30 15:38:55 2017 UTC
Event Veto ['NoiseBurst'], Mon Oct 30 12:04:25 2017 UTC-Mon Oct 30 12:04:25 2017 UTC (0.001 )  Time stamp start 1509365065357805905 end 1509365065356804905  Run 339500, LB 103, lumi 15.10
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:04:31 2017 UTC-Mon Oct 30 12:04:31 2017 UTC (0.001 )  Time stamp start 1509365071567490545 end 1509365071566490545  Run 339500, LB 103, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:04:33 2017 UTC-Mon Oct 30 12:04:33 2017 UTC (0.001 )  Time stamp start 1509365073840327590 end 1509365073839327590  Run 339500, LB 103, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:05:02 2017 UTC-Mon Oct 30 12:05:02 2017 UTC (0.001 )  Time stamp start 1509365102078130935 end 1509365102077130935  Run 339500, LB 103, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:05:21 2017 UTC-Mon Oct 30 12:05:21 2017 UTC (0.001 )  Time stamp start 1509365121991643545 end 1509365121990643545  Run 339500, LB 104, lumi 15.11
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:05:37 2017 UTC-Mon Oct 30 12:05:37 2017 UTC (0.001 )  Time stamp start 1509365137796751315 end 1509365137795751315  Run 339500, LB 104, lumi 15.11
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:06:24 2017 UTC-Mon Oct 30 12:06:24 2017 UTC (0.001 )  Time stamp start 1509365184463749340 end 1509365184462749340  Run 339500, LB 105, lumi 15.13
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:07:13 2017 UTC-Mon Oct 30 12:07:13 2017 UTC (0.001 )  Time stamp start 1509365233632039795 end 1509365233631039795  Run 339500, LB 106, lumi 15.11
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:07:58 2017 UTC-Mon Oct 30 12:07:58 2017 UTC (0.001 )  Time stamp start 1509365278949816625 end 1509365278948816625  Run 339500, LB 106, lumi 15.11
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:08:59 2017 UTC-Mon Oct 30 12:08:59 2017 UTC (0.001 )  Time stamp start 1509365339847448665 end 1509365339846448665  Run 339500, LB 107, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:09:15 2017 UTC-Mon Oct 30 12:09:15 2017 UTC (0.001 )  Time stamp start 1509365355864048880 end 1509365355863048880  Run 339500, LB 108, lumi 15.09
Event Veto ['NoiseBurst'], Mon Oct 30 12:09:24 2017 UTC-Mon Oct 30 12:09:24 2017 UTC (0.003 )  Time stamp start 1509365364908292200 end 1509365364905470770  Run 339500, LB 108, lumi 42.57
Event Veto ['NoiseBurst'], Mon Oct 30 12:09:24 2017 UTC-Mon Oct 30 12:09:24 2017 UTC (0.001 )  Time stamp start 1509365364911627815 end 1509365364910190530  Run 339500, LB 108, lumi 21.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:09:45 2017 UTC-Mon Oct 30 12:09:45 2017 UTC (0.001 )  Time stamp start 1509365385300758925 end 1509365385299758925  Run 339500, LB 108, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:10:14 2017 UTC-Mon Oct 30 12:10:14 2017 UTC (0.001 )  Time stamp start 1509365414281951430 end 1509365414280951430  Run 339500, LB 109, lumi 15.08
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:10:39 2017 UTC-Mon Oct 30 12:10:39 2017 UTC (0.001 )  Time stamp start 1509365439924388015 end 1509365439923388015  Run 339500, LB 109, lumi 15.08
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:11:00 2017 UTC-Mon Oct 30 12:11:00 2017 UTC (0.001 )  Time stamp start 1509365460031866420 end 1509365460030866420  Run 339500, LB 109, lumi 15.08
Event Veto ['NoiseBurst'], Mon Oct 30 12:11:25 2017 UTC-Mon Oct 30 12:11:25 2017 UTC (0.001 )  Time stamp start 1509365485830542970 end 1509365485829542195  Run 339500, LB 110, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:11:43 2017 UTC-Mon Oct 30 12:11:43 2017 UTC (0.001 )  Time stamp start 1509365503328063390 end 1509365503327063390  Run 339500, LB 110, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:12:01 2017 UTC-Mon Oct 30 12:12:01 2017 UTC (0.001 )  Time stamp start 1509365521646573965 end 1509365521645573965  Run 339500, LB 110, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:12:57 2017 UTC-Mon Oct 30 12:12:57 2017 UTC (0.001 )  Time stamp start 1509365577748873585 end 1509365577747873585  Run 339500, LB 111, lumi 15.01
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:14:10 2017 UTC-Mon Oct 30 12:14:10 2017 UTC (0.001 )  Time stamp start 1509365650074932240 end 1509365650073932240  Run 339500, LB 113, lumi 15.10
