Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351364 to 351364
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351364 to run 351364  lasting from Mon May 28 22:09:30 2018 UTC to Tue May 29 11:27:42 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:35 2018 UTC-Mon May 28 23:37:35 2018 UTC (0.001 )  Time stamp start 1527550655568424730 end 1527550655567424605  Run 351364, LB 131, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:39 2018 UTC-Mon May 28 23:37:39 2018 UTC (0.001 )  Time stamp start 1527550659515374110 end 1527550659514374110  Run 351364, LB 131, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:53 2018 UTC-Mon May 28 23:37:53 2018 UTC (0.001 )  Time stamp start 1527550673763382540 end 1527550673762382540  Run 351364, LB 131, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon May 28 23:38:14 2018 UTC-Mon May 28 23:38:14 2018 UTC (0.001 )  Time stamp start 1527550694094374150 end 1527550694093247150  Run 351364, LB 131, lumi 20.08
Event Veto ['MiniNoiseBurst'], Mon May 28 23:38:24 2018 UTC-Mon May 28 23:38:24 2018 UTC (0.001 )  Time stamp start 1527550704932060495 end 1527550704931060370  Run 351364, LB 132, lumi 17.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:38:37 2018 UTC-Mon May 28 23:38:37 2018 UTC (0.001 )  Time stamp start 1527550717012460775 end 1527550717011460650  Run 351364, LB 132, lumi 17.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:38:50 2018 UTC-Mon May 28 23:38:50 2018 UTC (0.001 )  Time stamp start 1527550730447542830 end 1527550730446542705  Run 351364, LB 132, lumi 17.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:39:04 2018 UTC-Mon May 28 23:39:04 2018 UTC (0.001 )  Time stamp start 1527550744117708650 end 1527550744116708525  Run 351364, LB 132, lumi 17.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:39:07 2018 UTC-Mon May 28 23:39:07 2018 UTC (0.001 )  Time stamp start 1527550747172660995 end 1527550747171660995  Run 351364, LB 132, lumi 17.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:39:07 2018 UTC-Mon May 28 23:39:07 2018 UTC (0.001 )  Time stamp start 1527550747954323915 end 1527550747953323915  Run 351364, LB 132, lumi 17.51
