Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306714 to 306714
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306714 to run 306714  lasting from Sat Aug 20 17:54:07 2016 UTC to Sun Aug 21 04:37:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:13 2016 UTC-Sat Aug 20 21:54:13 2016 UTC (0.010 )  Time stamp start 1471730053953583360 end 1471730053943583360  Run 306714, LB 245, lumi 88.04
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:20 2016 UTC-Sat Aug 20 21:54:20 2016 UTC (0.010 )  Time stamp start 1471730060940529490 end 1471730060930529490  Run 306714, LB 246, lumi 108.41
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:26 2016 UTC-Sat Aug 20 21:54:26 2016 UTC (0.014 )  Time stamp start 1471730066201916130 end 1471730066188137985  Run 306714, LB 246, lumi 149.37
Event Veto ['NoiseBurst'], Sat Aug 20 21:54:30 2016 UTC-Sat Aug 20 21:54:30 2016 UTC (0.025 )  Time stamp start 1471730070292371425 end 1471730070267438810  Run 306714, LB 246, lumi 270.29
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:30 2016 UTC-Sat Aug 20 21:54:30 2016 UTC (0.029 )  Time stamp start 1471730070712491935 end 1471730070683453100  Run 306714, LB 246, lumi 314.81
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:35 2016 UTC-Sat Aug 20 21:54:35 2016 UTC (0.016 )  Time stamp start 1471730075150010230 end 1471730075133777360  Run 306714, LB 246, lumi 175.98
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:37 2016 UTC-Sat Aug 20 21:54:37 2016 UTC (0.010 )  Time stamp start 1471730077787376375 end 1471730077777376375  Run 306714, LB 246, lumi 108.41
Event Veto ['NoiseBurst'], Sat Aug 20 21:54:38 2016 UTC-Sat Aug 20 21:54:38 2016 UTC (0.010 )  Time stamp start 1471730078657776875 end 1471730078647671285  Run 306714, LB 246, lumi 109.55
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:39 2016 UTC-Sat Aug 20 21:54:39 2016 UTC (0.018 )  Time stamp start 1471730079650920720 end 1471730079632835435  Run 306714, LB 246, lumi 196.06
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:44 2016 UTC-Sat Aug 20 21:54:44 2016 UTC (0.010 )  Time stamp start 1471730084202533935 end 1471730084192533935  Run 306714, LB 246, lumi 108.41
Event Veto ['NoiseBurst'], Sat Aug 20 21:54:48 2016 UTC-Sat Aug 20 21:54:48 2016 UTC (0.010 )  Time stamp start 1471730088395056275 end 1471730088384946490  Run 306714, LB 246, lumi 109.60
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:50 2016 UTC-Sat Aug 20 21:54:50 2016 UTC (0.010 )  Time stamp start 1471730090558325125 end 1471730090548325125  Run 306714, LB 246, lumi 108.41
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:53 2016 UTC-Sat Aug 20 21:54:53 2016 UTC (0.015 )  Time stamp start 1471730093141202000 end 1471730093126216765  Run 306714, LB 246, lumi 162.45
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:57 2016 UTC-Sat Aug 20 21:54:57 2016 UTC (0.010 )  Time stamp start 1471730097598379705 end 1471730097588379705  Run 306714, LB 246, lumi 108.41
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:06 2016 UTC-Sat Aug 20 21:55:06 2016 UTC (0.016 )  Time stamp start 1471730106705218300 end 1471730106689417850  Run 306714, LB 246, lumi 171.29
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:15 2016 UTC-Sat Aug 20 21:55:15 2016 UTC (0.019 )  Time stamp start 1471730115760915740 end 1471730115741461975  Run 306714, LB 246, lumi 210.90
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:24 2016 UTC-Sat Aug 20 21:55:24 2016 UTC (0.010 )  Time stamp start 1471730124746058045 end 1471730124736058045  Run 306714, LB 247, lumi 110.75
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:29 2016 UTC-Sat Aug 20 21:55:29 2016 UTC (0.014 )  Time stamp start 1471730129220781165 end 1471730129206692835  Run 306714, LB 247, lumi 156.02
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:33 2016 UTC-Sat Aug 20 21:55:33 2016 UTC (0.016 )  Time stamp start 1471730133614807550 end 1471730133598482385  Run 306714, LB 247, lumi 180.79
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:35 2016 UTC-Sat Aug 20 21:55:35 2016 UTC (0.018 )  Time stamp start 1471730135989779040 end 1471730135971301050  Run 306714, LB 247, lumi 204.64
Event Veto ['NoiseBurst'], Sat Aug 20 21:55:47 2016 UTC-Sat Aug 20 21:55:47 2016 UTC (0.010 )  Time stamp start 1471730147940862765 end 1471730147930799815  Run 306714, LB 247, lumi 111.44
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:55:56 2016 UTC-Sat Aug 20 21:55:56 2016 UTC (0.010 )  Time stamp start 1471730156019892055 end 1471730156009891780  Run 306714, LB 247, lumi 110.75
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:17 2016 UTC-Sat Aug 20 21:56:17 2016 UTC (0.010 )  Time stamp start 1471730177726481915 end 1471730177716481915  Run 306714, LB 247, lumi 110.75
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:18 2016 UTC-Sat Aug 20 21:56:18 2016 UTC (0.010 )  Time stamp start 1471730178078813810 end 1471730178068813810  Run 306714, LB 247, lumi 110.75
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:26 2016 UTC-Sat Aug 20 21:56:27 2016 UTC (0.015 )  Time stamp start 1471730187012448510 end 1471730186997034325  Run 306714, LB 248, lumi 170.51
Event Veto ['NoiseBurst'], Sat Aug 20 21:56:30 2016 UTC-Sat Aug 20 21:56:30 2016 UTC (0.010 )  Time stamp start 1471730190928955135 end 1471730190918885175  Run 306714, LB 248, lumi 111.39
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:31 2016 UTC-Sat Aug 20 21:56:31 2016 UTC (0.010 )  Time stamp start 1471730191435684280 end 1471730191425684280  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:35 2016 UTC-Sat Aug 20 21:56:35 2016 UTC (0.010 )  Time stamp start 1471730195845344475 end 1471730195835344150  Run 306714, LB 248, lumi 110.62
Event Veto ['NoiseBurst'], Sat Aug 20 21:56:36 2016 UTC-Sat Aug 20 21:56:36 2016 UTC (0.019 )  Time stamp start 1471730196247678700 end 1471730196228293580  Run 306714, LB 248, lumi 214.43
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:40 2016 UTC-Sat Aug 20 21:56:40 2016 UTC (0.010 )  Time stamp start 1471730200248608050 end 1471730200238608050  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:41 2016 UTC-Sat Aug 20 21:56:41 2016 UTC (0.010 )  Time stamp start 1471730201753070025 end 1471730201743070025  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:44 2016 UTC-Sat Aug 20 21:56:44 2016 UTC (0.010 )  Time stamp start 1471730204607268855 end 1471730204597268855  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:53 2016 UTC-Sat Aug 20 21:56:53 2016 UTC (0.015 )  Time stamp start 1471730213442356790 end 1471730213427755650  Run 306714, LB 248, lumi 161.51
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:57 2016 UTC-Sat Aug 20 21:56:57 2016 UTC (0.010 )  Time stamp start 1471730217830514315 end 1471730217820514315  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:59 2016 UTC-Sat Aug 20 21:56:59 2016 UTC (0.034 )  Time stamp start 1471730219448575915 end 1471730219414509825  Run 306714, LB 248, lumi 376.83
