Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351455 to 351455
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351455 to run 351455  lasting from Wed May 30 08:07:58 2018 UTC to Wed May 30 18:18:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:45 2018 UTC-Wed May 30 09:20:45 2018 UTC (0.001 )  Time stamp start 1527672045924778220 end 1527672045923777920  Run 351455, LB 80, lumi 18.64
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:57 2018 UTC-Wed May 30 09:20:57 2018 UTC (0.002 )  Time stamp start 1527672057149302495 end 1527672057147566300  Run 351455, LB 81, lumi 32.31
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:19 2018 UTC-Wed May 30 09:21:19 2018 UTC (0.001 )  Time stamp start 1527672079241493110 end 1527672079240493110  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:22 2018 UTC-Wed May 30 09:21:22 2018 UTC (0.001 )  Time stamp start 1527672082072397385 end 1527672082071397385  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:28 2018 UTC-Wed May 30 09:21:28 2018 UTC (0.001 )  Time stamp start 1527672088278920935 end 1527672088277920935  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:28 2018 UTC-Wed May 30 09:21:28 2018 UTC (0.001 )  Time stamp start 1527672088748885760 end 1527672088747885760  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:31 2018 UTC-Wed May 30 09:21:31 2018 UTC (0.001 )  Time stamp start 1527672091775703270 end 1527672091774703270  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:42 2018 UTC-Wed May 30 09:21:42 2018 UTC (0.001 )  Time stamp start 1527672102995271605 end 1527672102994271605  Run 351455, LB 81, lumi 18.61
Event Veto ['MiniNoiseBurst'], Wed May 30 09:21:52 2018 UTC-Wed May 30 09:21:52 2018 UTC (0.001 )  Time stamp start 1527672112051109085 end 1527672112050108960  Run 351455, LB 82, lumi 18.52
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:13 2018 UTC-Wed May 30 09:22:13 2018 UTC (0.001 )  Time stamp start 1527672133101302935 end 1527672133100302935  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:22 2018 UTC-Wed May 30 09:22:22 2018 UTC (0.001 )  Time stamp start 1527672142332018405 end 1527672142331018405  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:24 2018 UTC-Wed May 30 09:22:24 2018 UTC (0.001 )  Time stamp start 1527672144539446560 end 1527672144538446560  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:31 2018 UTC-Wed May 30 09:22:31 2018 UTC (0.001 )  Time stamp start 1527672151282784650 end 1527672151281784650  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:31 2018 UTC-Wed May 30 09:22:31 2018 UTC (0.001 )  Time stamp start 1527672151414204040 end 1527672151413204040  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:33 2018 UTC-Wed May 30 09:22:33 2018 UTC (0.001 )  Time stamp start 1527672153769226150 end 1527672153768226150  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:34 2018 UTC-Wed May 30 09:22:34 2018 UTC (0.001 )  Time stamp start 1527672154565479210 end 1527672154564479210  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:39 2018 UTC-Wed May 30 09:22:39 2018 UTC (0.001 )  Time stamp start 1527672159880073795 end 1527672159879073795  Run 351455, LB 82, lumi 18.51
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:42 2018 UTC-Wed May 30 09:22:42 2018 UTC (0.002 )  Time stamp start 1527672162172718955 end 1527672162170883305  Run 351455, LB 82, lumi 33.98
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:56 2018 UTC-Wed May 30 09:22:56 2018 UTC (0.001 )  Time stamp start 1527672176175705120 end 1527672176174705120  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:57 2018 UTC-Wed May 30 09:22:57 2018 UTC (0.001 )  Time stamp start 1527672177865353325 end 1527672177864353325  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:22:59 2018 UTC-Wed May 30 09:22:59 2018 UTC (0.001 )  Time stamp start 1527672179447336495 end 1527672179446336370  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:06 2018 UTC-Wed May 30 09:23:06 2018 UTC (0.001 )  Time stamp start 1527672186536663455 end 1527672186535663455  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:09 2018 UTC-Wed May 30 09:23:09 2018 UTC (0.001 )  Time stamp start 1527672189391039445 end 1527672189390039445  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:12 2018 UTC-Wed May 30 09:23:12 2018 UTC (0.001 )  Time stamp start 1527672192562435690 end 1527672192561118515  Run 351455, LB 83, lumi 24.30
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:15 2018 UTC-Wed May 30 09:23:15 2018 UTC (0.001 )  Time stamp start 1527672195454989305 end 1527672195453989305  Run 351455, LB 83, lumi 18.45
Event Veto ['NoiseBurst'], Wed May 30 09:23:33 2018 UTC-Wed May 30 09:23:33 2018 UTC (0.003 )  Time stamp start 1527672213766535465 end 1527672213763993285  Run 351455, LB 83, lumi 46.91
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:38 2018 UTC-Wed May 30 09:23:38 2018 UTC (0.001 )  Time stamp start 1527672218514270200 end 1527672218513270200  Run 351455, LB 83, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:52 2018 UTC-Wed May 30 09:23:52 2018 UTC (0.001 )  Time stamp start 1527672232304630055 end 1527672232303629930  Run 351455, LB 84, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:23:54 2018 UTC-Wed May 30 09:23:54 2018 UTC (0.001 )  Time stamp start 1527672234669734685 end 1527672234668734685  Run 351455, LB 84, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:24:06 2018 UTC-Wed May 30 09:24:06 2018 UTC (0.001 )  Time stamp start 1527672246308314070 end 1527672246307314070  Run 351455, LB 84, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:24:34 2018 UTC-Wed May 30 09:24:34 2018 UTC (0.001 )  Time stamp start 1527672274861014245 end 1527672274860014245  Run 351455, LB 84, lumi 18.45
Event Veto ['MiniNoiseBurst'], Wed May 30 09:24:39 2018 UTC-Wed May 30 09:24:39 2018 UTC (0.001 )  Time stamp start 1527672279399501850 end 1527672279398501850  Run 351455, LB 84, lumi 18.45
