Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349114 to 349114
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349114 to run 349114  lasting from Sun Apr 29 02:02:34 2018 UTC to Sun Apr 29 13:41:54 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:49:14 2018 UTC-Sun Apr 29 03:49:14 2018 UTC (0.001 )  Time stamp start 1524973754882471755 end 1524973754881471755  Run 349114, LB 151, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:49:27 2018 UTC-Sun Apr 29 03:49:27 2018 UTC (0.001 )  Time stamp start 1524973767309396845 end 1524973767308396845  Run 349114, LB 151, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:50:08 2018 UTC-Sun Apr 29 03:50:08 2018 UTC (0.001 )  Time stamp start 1524973808549525205 end 1524973808548525205  Run 349114, LB 152, lumi 10.38
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:50:18 2018 UTC-Sun Apr 29 03:50:18 2018 UTC (0.001 )  Time stamp start 1524973818606898275 end 1524973818605898275  Run 349114, LB 152, lumi 10.38
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:51:20 2018 UTC-Sun Apr 29 03:51:20 2018 UTC (0.001 )  Time stamp start 1524973880132743415 end 1524973880131743415  Run 349114, LB 153, lumi 10.36
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:52:06 2018 UTC-Sun Apr 29 03:52:06 2018 UTC (0.001 )  Time stamp start 1524973926754389030 end 1524973926753389030  Run 349114, LB 154, lumi 10.36
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:52:08 2018 UTC-Sun Apr 29 03:52:08 2018 UTC (0.001 )  Time stamp start 1524973928207636640 end 1524973928206636640  Run 349114, LB 154, lumi 10.36
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:52:20 2018 UTC-Sun Apr 29 03:52:20 2018 UTC (0.001 )  Time stamp start 1524973940421003545 end 1524973940420003545  Run 349114, LB 154, lumi 10.36
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:52:24 2018 UTC-Sun Apr 29 03:52:24 2018 UTC (0.001 )  Time stamp start 1524973944157438190 end 1524973944156438065  Run 349114, LB 154, lumi 10.36
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:52:36 2018 UTC-Sun Apr 29 03:52:36 2018 UTC (0.001 )  Time stamp start 1524973956173802020 end 1524973956172802020  Run 349114, LB 155, lumi 10.30
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:56:13 2018 UTC-Sun Apr 29 03:56:13 2018 UTC (0.001 )  Time stamp start 1524974173347348840 end 1524974173346348840  Run 349114, LB 160, lumi 10.27
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:56:23 2018 UTC-Sun Apr 29 03:56:23 2018 UTC (0.001 )  Time stamp start 1524974183057081625 end 1524974183056081625  Run 349114, LB 160, lumi 10.27
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:56:43 2018 UTC-Sun Apr 29 03:56:43 2018 UTC (0.001 )  Time stamp start 1524974203225967865 end 1524974203224967865  Run 349114, LB 160, lumi 10.27
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:14 2018 UTC-Sun Apr 29 03:57:14 2018 UTC (0.001 )  Time stamp start 1524974234942314175 end 1524974234941314175  Run 349114, LB 161, lumi 10.22
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:16 2018 UTC-Sun Apr 29 03:57:16 2018 UTC (0.001 )  Time stamp start 1524974236152152415 end 1524974236151152415  Run 349114, LB 161, lumi 10.22
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:16 2018 UTC-Sun Apr 29 03:57:16 2018 UTC (0.001 )  Time stamp start 1524974236940824565 end 1524974236939824440  Run 349114, LB 161, lumi 10.23
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:17 2018 UTC-Sun Apr 29 03:57:17 2018 UTC (0.001 )  Time stamp start 1524974237525524880 end 1524974237524524705  Run 349114, LB 161, lumi 10.23
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:33 2018 UTC-Sun Apr 29 03:57:33 2018 UTC (0.001 )  Time stamp start 1524974253872311980 end 1524974253871311980  Run 349114, LB 162, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:57:42 2018 UTC-Sun Apr 29 03:57:42 2018 UTC (0.001 )  Time stamp start 1524974262596608850 end 1524974262595608850  Run 349114, LB 162, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:58:18 2018 UTC-Sun Apr 29 03:58:18 2018 UTC (0.001 )  Time stamp start 1524974298307616140 end 1524974298306616140  Run 349114, LB 162, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:59:59 2018 UTC-Sun Apr 29 03:59:59 2018 UTC (0.001 )  Time stamp start 1524974399911757115 end 1524974399910757115  Run 349114, LB 165, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:01:02 2018 UTC-Sun Apr 29 04:01:02 2018 UTC (0.001 )  Time stamp start 1524974462306894045 end 1524974462305894045  Run 349114, LB 167, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:01:07 2018 UTC-Sun Apr 29 04:01:07 2018 UTC (0.001 )  Time stamp start 1524974467033086845 end 1524974467032086845  Run 349114, LB 167, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:01:22 2018 UTC-Sun Apr 29 04:01:22 2018 UTC (0.001 )  Time stamp start 1524974482910103095 end 1524974482909103095  Run 349114, LB 167, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:01:55 2018 UTC-Sun Apr 29 04:01:55 2018 UTC (0.001 )  Time stamp start 1524974515098019100 end 1524974515097019100  Run 349114, LB 168, lumi 10.11
