Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307601 to 307601
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307601 to run 307601  lasting from Thu Sep  1 06:09:15 2016 UTC to Thu Sep  1 18:10:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:32 2016 UTC-Thu Sep  1 07:18:32 2016 UTC (0.019 )  Time stamp start 1472714312913479165 end 1472714312894789320  Run 307601, LB 77, lumi 189.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:33 2016 UTC-Thu Sep  1 07:18:33 2016 UTC (0.010 )  Time stamp start 1472714313515587370 end 1472714313505587245  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:36 2016 UTC-Thu Sep  1 07:18:36 2016 UTC (0.010 )  Time stamp start 1472714316282076645 end 1472714316272076645  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:40 2016 UTC-Thu Sep  1 07:18:40 2016 UTC (0.010 )  Time stamp start 1472714320106858085 end 1472714320096857960  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:41 2016 UTC-Thu Sep  1 07:18:41 2016 UTC (0.010 )  Time stamp start 1472714321990371375 end 1472714321980370855  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:45 2016 UTC-Thu Sep  1 07:18:45 2016 UTC (0.010 )  Time stamp start 1472714325982165455 end 1472714325972165180  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:49 2016 UTC-Thu Sep  1 07:18:49 2016 UTC (0.010 )  Time stamp start 1472714329901573745 end 1472714329891572920  Run 307601, LB 77, lumi 101.34
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:52 2016 UTC-Thu Sep  1 07:18:52 2016 UTC (0.011 )  Time stamp start 1472714332924816865 end 1472714332914315825  Run 307601, LB 77, lumi 106.40
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 07:18:58 2016 UTC-Thu Sep  1 07:18:58 2016 UTC (0.010 )  Time stamp start 1472714338901006335 end 1472714338891006335  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:05 2016 UTC-Thu Sep  1 07:19:05 2016 UTC (0.017 )  Time stamp start 1472714345961612390 end 1472714345944999250  Run 307601, LB 77, lumi 168.34
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:06 2016 UTC-Thu Sep  1 07:19:06 2016 UTC (0.010 )  Time stamp start 1472714346570341275 end 1472714346560341150  Run 307601, LB 77, lumi 101.33
Event Veto ['NoiseBurst'], Thu Sep  1 07:19:08 2016 UTC-Thu Sep  1 07:19:08 2016 UTC (0.010 )  Time stamp start 1472714348712010840 end 1472714348701756690  Run 307601, LB 77, lumi 103.90
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:09 2016 UTC-Thu Sep  1 07:19:09 2016 UTC (0.010 )  Time stamp start 1472714349350232070 end 1472714349340232070  Run 307601, LB 77, lumi 101.33
Event Veto ['NoiseBurst'], Thu Sep  1 07:19:10 2016 UTC-Thu Sep  1 07:19:10 2016 UTC (0.010 )  Time stamp start 1472714350643544100 end 1472714350633531225  Run 307601, LB 77, lumi 101.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:14 2016 UTC-Thu Sep  1 07:19:14 2016 UTC (0.010 )  Time stamp start 1472714354102967215 end 1472714354092966345  Run 307601, LB 77, lumi 101.34
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:20 2016 UTC-Thu Sep  1 07:19:20 2016 UTC (0.010 )  Time stamp start 1472714360220220465 end 1472714360210220465  Run 307601, LB 77, lumi 101.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:19:22 2016 UTC-Thu Sep  1 07:19:22 2016 UTC (0.010 )  Time stamp start 1472714362632939865 end 1472714362622939745  Run 307601, LB 77, lumi 101.33
