Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335177 to 335177
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335177 to run 335177  lasting from Sun Sep 10 21:20:14 2017 UTC to Mon Sep 11 16:38:32 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:18 2017 UTC-Mon Sep 11 03:35:18 2017 UTC (0.001 )  Time stamp start 1505100918555068495 end 1505100918554068495  Run 335177, LB 381, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:19 2017 UTC-Mon Sep 11 03:35:19 2017 UTC (0.001 )  Time stamp start 1505100919703035625 end 1505100919702035625  Run 335177, LB 381, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:21 2017 UTC-Mon Sep 11 03:35:21 2017 UTC (0.001 )  Time stamp start 1505100921137041310 end 1505100921136041035  Run 335177, LB 381, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:22 2017 UTC-Mon Sep 11 03:35:22 2017 UTC (0.001 )  Time stamp start 1505100922507415120 end 1505100922506415120  Run 335177, LB 381, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:37:22 2017 UTC-Mon Sep 11 03:37:22 2017 UTC (0.001 )  Time stamp start 1505101042846380290 end 1505101042845380290  Run 335177, LB 383, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:38:20 2017 UTC-Mon Sep 11 03:38:20 2017 UTC (0.001 )  Time stamp start 1505101100867626550 end 1505101100866626550  Run 335177, LB 384, lumi 10.11
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:43:01 2017 UTC-Mon Sep 11 03:43:01 2017 UTC (0.001 )  Time stamp start 1505101381469057870 end 1505101381468057870  Run 335177, LB 390, lumi 10.04
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:43:11 2017 UTC-Mon Sep 11 03:43:11 2017 UTC (0.001 )  Time stamp start 1505101391211098410 end 1505101391210098410  Run 335177, LB 391, lumi 10.03
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:45:36 2017 UTC-Mon Sep 11 03:45:36 2017 UTC (0.001 )  Time stamp start 1505101536057281515 end 1505101536056281515  Run 335177, LB 393, lumi 9.97
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:45:49 2017 UTC-Mon Sep 11 03:45:49 2017 UTC (0.001 )  Time stamp start 1505101549107520885 end 1505101549106520885  Run 335177, LB 393, lumi 9.97
Event Veto ['NoiseBurst'], Mon Sep 11 03:46:35 2017 UTC-Mon Sep 11 03:46:35 2017 UTC (0.001 )  Time stamp start 1505101595214771185 end 1505101595213770810  Run 335177, LB 394, lumi 9.96
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:47:31 2017 UTC-Mon Sep 11 03:47:31 2017 UTC (0.001 )  Time stamp start 1505101651133955510 end 1505101651132955510  Run 335177, LB 395, lumi 9.93
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:48:51 2017 UTC-Mon Sep 11 03:48:51 2017 UTC (0.001 )  Time stamp start 1505101731289265905 end 1505101731288265905  Run 335177, LB 396, lumi 9.92
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:49:14 2017 UTC-Mon Sep 11 03:49:14 2017 UTC (0.001 )  Time stamp start 1505101754365056075 end 1505101754363628495  Run 335177, LB 397, lumi 14.13
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:52:33 2017 UTC-Mon Sep 11 03:52:33 2017 UTC (0.001 )  Time stamp start 1505101953218926745 end 1505101953217926745  Run 335177, LB 402, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:54:40 2017 UTC-Mon Sep 11 03:54:40 2017 UTC (0.001 )  Time stamp start 1505102080934343485 end 1505102080933343485  Run 335177, LB 404, lumi 9.82
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:54:52 2017 UTC-Mon Sep 11 03:54:52 2017 UTC (0.001 )  Time stamp start 1505102092882116815 end 1505102092881116815  Run 335177, LB 404, lumi 9.82
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:55:21 2017 UTC-Mon Sep 11 03:55:21 2017 UTC (0.001 )  Time stamp start 1505102121163196230 end 1505102121162196230  Run 335177, LB 405, lumi 9.80
