Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334907 to 334907
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334907 to run 334907  lasting from Wed Sep  6 00:43:31 2017 UTC to Wed Sep  6 10:11:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:27:57 2017 UTC-Wed Sep  6 02:27:57 2017 UTC (0.001 )  Time stamp start 1504664877212224060 end 1504664877211224060  Run 334907, LB 117, lumi 9.82
Event Veto ['NoiseBurst'], Wed Sep  6 02:28:33 2017 UTC-Wed Sep  6 02:28:33 2017 UTC (0.001 )  Time stamp start 1504664913285877685 end 1504664913284877185  Run 334907, LB 117, lumi 9.82
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:29:05 2017 UTC-Wed Sep  6 02:29:05 2017 UTC (0.001 )  Time stamp start 1504664945187900375 end 1504664945186900375  Run 334907, LB 118, lumi 9.63
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:33:41 2017 UTC-Wed Sep  6 02:33:41 2017 UTC (0.001 )  Time stamp start 1504665221817524815 end 1504665221816524815  Run 334907, LB 122, lumi 10.15
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:35:46 2017 UTC-Wed Sep  6 02:35:46 2017 UTC (0.001 )  Time stamp start 1504665346482370800 end 1504665346481370800  Run 334907, LB 125, lumi 10.10
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:35:55 2017 UTC-Wed Sep  6 02:35:55 2017 UTC (0.001 )  Time stamp start 1504665355253099860 end 1504665355252099860  Run 334907, LB 125, lumi 10.10
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:41:57 2017 UTC-Wed Sep  6 02:41:57 2017 UTC (0.001 )  Time stamp start 1504665717891687315 end 1504665717890687315  Run 334907, LB 131, lumi 10.02
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:43:06 2017 UTC-Wed Sep  6 02:43:06 2017 UTC (0.001 )  Time stamp start 1504665786856607055 end 1504665786855607055  Run 334907, LB 133, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:43:54 2017 UTC-Wed Sep  6 02:43:54 2017 UTC (0.001 )  Time stamp start 1504665834554799835 end 1504665834553799835  Run 334907, LB 133, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:43:56 2017 UTC-Wed Sep  6 02:43:56 2017 UTC (0.001 )  Time stamp start 1504665836086086105 end 1504665836085086105  Run 334907, LB 133, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:44:16 2017 UTC-Wed Sep  6 02:44:16 2017 UTC (0.001 )  Time stamp start 1504665856721869135 end 1504665856720869135  Run 334907, LB 134, lumi 9.98
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:44:55 2017 UTC-Wed Sep  6 02:44:55 2017 UTC (0.001 )  Time stamp start 1504665895633833860 end 1504665895632833860  Run 334907, LB 134, lumi 9.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Sep  6 02:45:24 2017 UTC-Wed Sep  6 02:45:24 2017 UTC (0.001 )  Time stamp start 1504665924893151505 end 1504665924892151505  Run 334907, LB 135, lumi 9.96
