Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337371 to 337371
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337371 to run 337371  lasting from Fri Oct  6 20:23:03 2017 UTC to Sat Oct  7 04:30:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:24:17 2017 UTC-Fri Oct  6 22:24:17 2017 UTC (0.001 )  Time stamp start 1507328657138491030 end 1507328657137491030  Run 337371, LB 131, lumi 15.16
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:24:44 2017 UTC-Fri Oct  6 22:24:44 2017 UTC (0.001 )  Time stamp start 1507328684410506135 end 1507328684409506135  Run 337371, LB 131, lumi 15.16
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:24:46 2017 UTC-Fri Oct  6 22:24:46 2017 UTC (0.001 )  Time stamp start 1507328686491236105 end 1507328686490236105  Run 337371, LB 131, lumi 15.16
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:24:51 2017 UTC-Fri Oct  6 22:24:51 2017 UTC (0.001 )  Time stamp start 1507328691144524320 end 1507328691143524320  Run 337371, LB 131, lumi 15.16
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:24:59 2017 UTC-Fri Oct  6 22:24:59 2017 UTC (0.001 )  Time stamp start 1507328699449057985 end 1507328699448057985  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:04 2017 UTC-Fri Oct  6 22:25:04 2017 UTC (0.001 )  Time stamp start 1507328704376754615 end 1507328704375754615  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:05 2017 UTC-Fri Oct  6 22:25:05 2017 UTC (0.001 )  Time stamp start 1507328705122310740 end 1507328705121310740  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:06 2017 UTC-Fri Oct  6 22:25:06 2017 UTC (0.001 )  Time stamp start 1507328706349154580 end 1507328706348154580  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:08 2017 UTC-Fri Oct  6 22:25:08 2017 UTC (0.001 )  Time stamp start 1507328708675297705 end 1507328708674297705  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:29 2017 UTC-Fri Oct  6 22:25:29 2017 UTC (0.001 )  Time stamp start 1507328729478751915 end 1507328729477751915  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:31 2017 UTC-Fri Oct  6 22:25:31 2017 UTC (0.001 )  Time stamp start 1507328731405447715 end 1507328731404446765  Run 337371, LB 132, lumi 15.21
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:33 2017 UTC-Fri Oct  6 22:25:33 2017 UTC (0.001 )  Time stamp start 1507328733222609815 end 1507328733221609815  Run 337371, LB 132, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:36 2017 UTC-Fri Oct  6 22:25:36 2017 UTC (0.001 )  Time stamp start 1507328736068798740 end 1507328736067798615  Run 337371, LB 132, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:38 2017 UTC-Fri Oct  6 22:25:38 2017 UTC (0.001 )  Time stamp start 1507328738751769600 end 1507328738750769480  Run 337371, LB 132, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:41 2017 UTC-Fri Oct  6 22:25:41 2017 UTC (0.001 )  Time stamp start 1507328741483712755 end 1507328741482712455  Run 337371, LB 132, lumi 15.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:43 2017 UTC-Fri Oct  6 22:25:43 2017 UTC (0.001 )  Time stamp start 1507328743812632745 end 1507328743811632620  Run 337371, LB 132, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:46 2017 UTC-Fri Oct  6 22:25:46 2017 UTC (0.001 )  Time stamp start 1507328746583510005 end 1507328746582510005  Run 337371, LB 132, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:49 2017 UTC-Fri Oct  6 22:25:49 2017 UTC (0.001 )  Time stamp start 1507328749844934150 end 1507328749843934150  Run 337371, LB 132, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:52 2017 UTC-Fri Oct  6 22:25:52 2017 UTC (0.001 )  Time stamp start 1507328752576144350 end 1507328752575144225  Run 337371, LB 133, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:25:54 2017 UTC-Fri Oct  6 22:25:54 2017 UTC (0.001 )  Time stamp start 1507328754807128170 end 1507328754806128045  Run 337371, LB 133, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:57 2017 UTC-Fri Oct  6 22:25:57 2017 UTC (0.001 )  Time stamp start 1507328757757410880 end 1507328757756410580  Run 337371, LB 133, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:25:59 2017 UTC-Fri Oct  6 22:25:59 2017 UTC (0.001 )  Time stamp start 1507328759819363145 end 1507328759818363020  Run 337371, LB 133, lumi 15.19
