Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304243 to 304243
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304243 to run 304243  lasting from Fri Jul 22 16:46:25 2016 UTC to Sat Jul 23 11:02:54 2016 UTC
Event Veto ['NoiseBurst'], Fri Jul 22 18:14:19 2016 UTC-Fri Jul 22 18:14:19 2016 UTC (0.010 )  Time stamp start 1469211259125261055 end 1469211259115025620  Run 304243, LB 96, lumi 104.12
Event Veto ['NoiseBurst'], Fri Jul 22 18:14:24 2016 UTC-Fri Jul 22 18:14:24 2016 UTC (0.010 )  Time stamp start 1469211264019336990 end 1469211264009122440  Run 304243, LB 97, lumi 103.91
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:14:25 2016 UTC-Fri Jul 22 18:14:25 2016 UTC (0.001 )  Time stamp start 1469211265750769475 end 1469211265749769475  Run 304243, LB 97, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:14:39 2016 UTC-Fri Jul 22 18:14:39 2016 UTC (0.001 )  Time stamp start 1469211279796474435 end 1469211279795473415  Run 304243, LB 97, lumi 10.18
Event Veto ['NoiseBurst'], Fri Jul 22 18:14:53 2016 UTC-Fri Jul 22 18:14:53 2016 UTC (0.010 )  Time stamp start 1469211293254203065 end 1469211293244012615  Run 304243, LB 97, lumi 103.66
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:14:55 2016 UTC-Fri Jul 22 18:14:55 2016 UTC (0.001 )  Time stamp start 1469211295650911550 end 1469211295649911550  Run 304243, LB 97, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:15:11 2016 UTC-Fri Jul 22 18:15:11 2016 UTC (0.001 )  Time stamp start 1469211311610065745 end 1469211311609065745  Run 304243, LB 97, lumi 10.17
Event Veto ['NoiseBurst'], Fri Jul 22 18:15:14 2016 UTC-Fri Jul 22 18:15:14 2016 UTC (0.010 )  Time stamp start 1469211314305228235 end 1469211314295017525  Run 304243, LB 97, lumi 103.87
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:15:17 2016 UTC-Fri Jul 22 18:15:17 2016 UTC (0.001 )  Time stamp start 1469211317148060180 end 1469211317147060180  Run 304243, LB 97, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:15:33 2016 UTC-Fri Jul 22 18:15:33 2016 UTC (0.001 )  Time stamp start 1469211333776511065 end 1469211333775510815  Run 304243, LB 98, lumi 10.17
