Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306384 to 306384
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306384 to run 306384  lasting from Mon Aug 15 18:22:31 2016 UTC to Tue Aug 16 08:30:40 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:54 2016 UTC-Mon Aug 15 23:21:54 2016 UTC (0.010 )  Time stamp start 1471303314299372645 end 1471303314289372645  Run 306384, LB 306, lumi 67.86
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:59 2016 UTC-Mon Aug 15 23:21:59 2016 UTC (0.010 )  Time stamp start 1471303319922186225 end 1471303319912185725  Run 306384, LB 306, lumi 67.87
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:05 2016 UTC-Mon Aug 15 23:22:05 2016 UTC (0.010 )  Time stamp start 1471303325458164620 end 1471303325448164620  Run 306384, LB 306, lumi 67.86
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:11 2016 UTC-Mon Aug 15 23:22:11 2016 UTC (0.010 )  Time stamp start 1471303331178783055 end 1471303331168781905  Run 306384, LB 306, lumi 67.87
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:18 2016 UTC-Mon Aug 15 23:22:18 2016 UTC (0.010 )  Time stamp start 1471303338742031755 end 1471303338732031755  Run 306384, LB 306, lumi 67.86
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:37 2016 UTC-Mon Aug 15 23:22:37 2016 UTC (0.010 )  Time stamp start 1471303357126951275 end 1471303357116951275  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:43 2016 UTC-Mon Aug 15 23:22:43 2016 UTC (0.010 )  Time stamp start 1471303363240074195 end 1471303363230073745  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:22:58 2016 UTC-Mon Aug 15 23:22:58 2016 UTC (0.010 )  Time stamp start 1471303378947686030 end 1471303378937685905  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:04 2016 UTC-Mon Aug 15 23:23:04 2016 UTC (0.010 )  Time stamp start 1471303384242896520 end 1471303384232895420  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:09 2016 UTC-Mon Aug 15 23:23:09 2016 UTC (0.010 )  Time stamp start 1471303389785460985 end 1471303389775460985  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:14 2016 UTC-Mon Aug 15 23:23:14 2016 UTC (0.010 )  Time stamp start 1471303394775460725 end 1471303394765460725  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:19 2016 UTC-Mon Aug 15 23:23:19 2016 UTC (0.035 )  Time stamp start 1471303399343743655 end 1471303399308394280  Run 306384, LB 307, lumi 223.97
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:24 2016 UTC-Mon Aug 15 23:23:24 2016 UTC (0.010 )  Time stamp start 1471303404111120970 end 1471303404101120970  Run 306384, LB 307, lumi 63.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:28 2016 UTC-Mon Aug 15 23:23:28 2016 UTC (0.010 )  Time stamp start 1471303408779301000 end 1471303408769300500  Run 306384, LB 308, lumi 79.25
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:33 2016 UTC-Mon Aug 15 23:23:33 2016 UTC (0.015 )  Time stamp start 1471303413654631930 end 1471303413639293590  Run 306384, LB 308, lumi 121.55
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:38 2016 UTC-Mon Aug 15 23:23:38 2016 UTC (0.017 )  Time stamp start 1471303418169756010 end 1471303418152545920  Run 306384, LB 308, lumi 136.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:48 2016 UTC-Mon Aug 15 23:23:48 2016 UTC (0.010 )  Time stamp start 1471303428241234060 end 1471303428231233635  Run 306384, LB 308, lumi 79.25
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:53 2016 UTC-Mon Aug 15 23:23:53 2016 UTC (0.010 )  Time stamp start 1471303433600843085 end 1471303433590843085  Run 306384, LB 308, lumi 79.25
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:23:58 2016 UTC-Mon Aug 15 23:23:58 2016 UTC (0.010 )  Time stamp start 1471303438824103450 end 1471303438814103450  Run 306384, LB 308, lumi 79.25
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:07 2016 UTC-Mon Aug 15 23:24:07 2016 UTC (0.021 )  Time stamp start 1471303447335694895 end 1471303447314714670  Run 306384, LB 308, lumi 166.26
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:12 2016 UTC-Mon Aug 15 23:24:12 2016 UTC (0.010 )  Time stamp start 1471303452167296110 end 1471303452157296110  Run 306384, LB 308, lumi 79.25
Event Veto ['NoiseBurst'], Mon Aug 15 23:24:14 2016 UTC-Mon Aug 15 23:24:14 2016 UTC (0.023 )  Time stamp start 1471303454525813210 end 1471303454502379905  Run 306384, LB 308, lumi 185.70
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:16 2016 UTC-Mon Aug 15 23:24:16 2016 UTC (0.010 )  Time stamp start 1471303456685191845 end 1471303456675191845  Run 306384, LB 308, lumi 79.25
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:26 2016 UTC-Mon Aug 15 23:24:26 2016 UTC (0.010 )  Time stamp start 1471303466446762290 end 1471303466436762165  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:31 2016 UTC-Mon Aug 15 23:24:31 2016 UTC (0.010 )  Time stamp start 1471303471061503275 end 1471303471051503275  Run 306384, LB 309, lumi 83.36
Event Veto ['NoiseBurst'], Mon Aug 15 23:24:37 2016 UTC-Mon Aug 15 23:24:37 2016 UTC (0.023 )  Time stamp start 1471303477390874580 end 1471303477368072955  Run 306384, LB 309, lumi 190.06
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:45 2016 UTC-Mon Aug 15 23:24:45 2016 UTC (0.010 )  Time stamp start 1471303485318861630 end 1471303485308861305  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:50 2016 UTC-Mon Aug 15 23:24:50 2016 UTC (0.012 )  Time stamp start 1471303490653807420 end 1471303490642087590  Run 306384, LB 309, lumi 97.69
Event Veto ['NoiseBurst'], Mon Aug 15 23:24:51 2016 UTC-Mon Aug 15 23:24:51 2016 UTC (0.023 )  Time stamp start 1471303491575042785 end 1471303491552339790  Run 306384, LB 309, lumi 189.24
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:24:56 2016 UTC-Mon Aug 15 23:24:56 2016 UTC (0.010 )  Time stamp start 1471303496106816245 end 1471303496096816245  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:06 2016 UTC-Mon Aug 15 23:25:06 2016 UTC (0.010 )  Time stamp start 1471303506403531790 end 1471303506393531665  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:11 2016 UTC-Mon Aug 15 23:25:11 2016 UTC (0.012 )  Time stamp start 1471303511231898340 end 1471303511219895715  Run 306384, LB 309, lumi 100.05
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:15 2016 UTC-Mon Aug 15 23:25:15 2016 UTC (0.010 )  Time stamp start 1471303515782954180 end 1471303515772954180  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:20 2016 UTC-Mon Aug 15 23:25:20 2016 UTC (0.010 )  Time stamp start 1471303520381990820 end 1471303520371990820  Run 306384, LB 309, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:33 2016 UTC-Mon Aug 15 23:25:33 2016 UTC (0.010 )  Time stamp start 1471303533191958220 end 1471303533181958220  Run 306384, LB 310, lumi 83.22
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:34 2016 UTC-Mon Aug 15 23:25:34 2016 UTC (0.010 )  Time stamp start 1471303534239556855 end 1471303534229556855  Run 306384, LB 310, lumi 83.22
Event Veto ['NoiseBurst'], Mon Aug 15 23:25:34 2016 UTC-Mon Aug 15 23:25:34 2016 UTC (0.019 )  Time stamp start 1471303534877703445 end 1471303534858315355  Run 306384, LB 310, lumi 161.35
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:38 2016 UTC-Mon Aug 15 23:25:38 2016 UTC (0.010 )  Time stamp start 1471303538897228060 end 1471303538887227610  Run 306384, LB 310, lumi 83.23
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:43 2016 UTC-Mon Aug 15 23:25:43 2016 UTC (0.010 )  Time stamp start 1471303543480256505 end 1471303543470256105  Run 306384, LB 310, lumi 83.23
Event Veto ['NoiseBurst'], Mon Aug 15 23:25:46 2016 UTC-Mon Aug 15 23:25:46 2016 UTC (0.010 )  Time stamp start 1471303546498380100 end 1471303546488224335  Run 306384, LB 310, lumi 84.52
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:49 2016 UTC-Mon Aug 15 23:25:49 2016 UTC (0.010 )  Time stamp start 1471303549266930655 end 1471303549256930655  Run 306384, LB 310, lumi 83.22
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:53 2016 UTC-Mon Aug 15 23:25:53 2016 UTC (0.010 )  Time stamp start 1471303553798072410 end 1471303553788072410  Run 306384, LB 310, lumi 83.22
