Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349592 to 349592
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349592 to run 349592  lasting from Sun May  6 00:33:09 2018 UTC to Sun May  6 04:31:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:31 2018 UTC-Sun May  6 02:22:31 2018 UTC (0.001 )  Time stamp start 1525573351438065400 end 1525573351437065400  Run 349592, LB 115, lumi 21.16
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun May  6 02:22:31 2018 UTC-Sun May  6 02:22:31 2018 UTC (0.001 )  Time stamp start 1525573351892136380 end 1525573351891136380  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:37 2018 UTC-Sun May  6 02:22:37 2018 UTC (0.001 )  Time stamp start 1525573357247313435 end 1525573357246313435  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:41 2018 UTC-Sun May  6 02:22:41 2018 UTC (0.001 )  Time stamp start 1525573361408562480 end 1525573361407562480  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:42 2018 UTC-Sun May  6 02:22:42 2018 UTC (0.001 )  Time stamp start 1525573362902162235 end 1525573362901162235  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:23:01 2018 UTC-Sun May  6 02:23:01 2018 UTC (0.001 )  Time stamp start 1525573381355064015 end 1525573381354064015  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:23:03 2018 UTC-Sun May  6 02:23:03 2018 UTC (0.001 )  Time stamp start 1525573383060917305 end 1525573383059917305  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:23:12 2018 UTC-Sun May  6 02:23:12 2018 UTC (0.001 )  Time stamp start 1525573392929713680 end 1525573392928713680  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:23:14 2018 UTC-Sun May  6 02:23:14 2018 UTC (0.001 )  Time stamp start 1525573394509255955 end 1525573394508255955  Run 349592, LB 116, lumi 21.14
Event Veto ['MiniNoiseBurst'], Sun May  6 02:23:18 2018 UTC-Sun May  6 02:23:18 2018 UTC (0.001 )  Time stamp start 1525573398569947410 end 1525573398568947410  Run 349592, LB 116, lumi 21.14
