Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340072 to 340072
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340072 to run 340072  lasting from Sun Nov  5 20:44:26 2017 UTC to Tue Nov  7 06:10:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:50:22 2017 UTC-Mon Nov  6 02:50:22 2017 UTC (0.001 )  Time stamp start 1509936622336609840 end 1509936622335609840  Run 340072, LB 380, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:50:29 2017 UTC-Mon Nov  6 02:50:29 2017 UTC (0.001 )  Time stamp start 1509936629795678255 end 1509936629794678255  Run 340072, LB 380, lumi 15.09
Event Veto ['NoiseBurst'], Mon Nov  6 02:50:36 2017 UTC-Mon Nov  6 02:50:36 2017 UTC (0.002 )  Time stamp start 1509936636786920070 end 1509936636785305930  Run 340072, LB 380, lumi 24.36
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:53:17 2017 UTC-Mon Nov  6 02:53:17 2017 UTC (0.001 )  Time stamp start 1509936797559088405 end 1509936797558088405  Run 340072, LB 383, lumi 15.30
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:53:43 2017 UTC-Mon Nov  6 02:53:43 2017 UTC (0.001 )  Time stamp start 1509936823992308230 end 1509936823991308230  Run 340072, LB 383, lumi 15.30
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:53:53 2017 UTC-Mon Nov  6 02:53:53 2017 UTC (0.001 )  Time stamp start 1509936833296196995 end 1509936833295196995  Run 340072, LB 383, lumi 15.30
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:53:59 2017 UTC-Mon Nov  6 02:53:59 2017 UTC (0.001 )  Time stamp start 1509936839177662185 end 1509936839176662185  Run 340072, LB 383, lumi 15.30
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:54:20 2017 UTC-Mon Nov  6 02:54:20 2017 UTC (0.001 )  Time stamp start 1509936860506203935 end 1509936860505203935  Run 340072, LB 384, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:54:43 2017 UTC-Mon Nov  6 02:54:43 2017 UTC (0.001 )  Time stamp start 1509936883226361380 end 1509936883225361380  Run 340072, LB 384, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:55:36 2017 UTC-Mon Nov  6 02:55:36 2017 UTC (0.001 )  Time stamp start 1509936936472765845 end 1509936936471765845  Run 340072, LB 385, lumi 14.79
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:55:36 2017 UTC-Mon Nov  6 02:55:36 2017 UTC (0.001 )  Time stamp start 1509936936884008905 end 1509936936883008905  Run 340072, LB 385, lumi 14.79
Event Veto ['NoiseBurst'], Mon Nov  6 02:56:02 2017 UTC-Mon Nov  6 02:56:02 2017 UTC (0.001 )  Time stamp start 1509936962252357860 end 1509936962251356990  Run 340072, LB 385, lumi 14.81
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:56:32 2017 UTC-Mon Nov  6 02:56:32 2017 UTC (0.001 )  Time stamp start 1509936992035168250 end 1509936992034168250  Run 340072, LB 386, lumi 14.79
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:57:32 2017 UTC-Mon Nov  6 02:57:32 2017 UTC (0.001 )  Time stamp start 1509937052589144510 end 1509937052588144510  Run 340072, LB 387, lumi 14.79
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Nov  6 02:57:41 2017 UTC-Mon Nov  6 02:57:41 2017 UTC (0.001 )  Time stamp start 1509937061839973030 end 1509937061838973030  Run 340072, LB 387, lumi 14.79
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:57:47 2017 UTC-Mon Nov  6 02:57:47 2017 UTC (0.001 )  Time stamp start 1509937067069616755 end 1509937067068616755  Run 340072, LB 387, lumi 14.79
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:57:48 2017 UTC-Mon Nov  6 02:57:48 2017 UTC (0.001 )  Time stamp start 1509937068197887415 end 1509937068196887415  Run 340072, LB 387, lumi 14.79
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:58:17 2017 UTC-Mon Nov  6 02:58:17 2017 UTC (0.001 )  Time stamp start 1509937097873337405 end 1509937097872337405  Run 340072, LB 388, lumi 14.86
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:58:39 2017 UTC-Mon Nov  6 02:58:39 2017 UTC (0.001 )  Time stamp start 1509937119682727710 end 1509937119681727710  Run 340072, LB 388, lumi 14.86
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:59:00 2017 UTC-Mon Nov  6 02:59:00 2017 UTC (0.001 )  Time stamp start 1509937140831141370 end 1509937140830141370  Run 340072, LB 388, lumi 14.86
Event Veto ['NoiseBurst'], Mon Nov  6 02:59:27 2017 UTC-Mon Nov  6 02:59:27 2017 UTC (0.001 )  Time stamp start 1509937167036042160 end 1509937167035041410  Run 340072, LB 389, lumi 14.95
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:59:29 2017 UTC-Mon Nov  6 02:59:29 2017 UTC (0.001 )  Time stamp start 1509937169448425555 end 1509937169447425555  Run 340072, LB 389, lumi 14.94
