Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 352056 to 352056
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 352056 to run 352056  lasting from Tue Jun  5 17:29:08 2018 UTC to Wed Jun  6 05:02:01 2018 UTC
Event Veto ['NoiseBurst'], Tue Jun  5 18:41:30 2018 UTC-Tue Jun  5 18:41:30 2018 UTC (0.001 )  Time stamp start 1528224090566931205 end 1528224090565930535  Run 352056, LB 80, lumi 16.52
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:41:31 2018 UTC-Tue Jun  5 18:41:31 2018 UTC (0.001 )  Time stamp start 1528224091709883910 end 1528224091708883910  Run 352056, LB 80, lumi 16.51
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:41:48 2018 UTC-Tue Jun  5 18:41:48 2018 UTC (0.001 )  Time stamp start 1528224108313244695 end 1528224108312244695  Run 352056, LB 81, lumi 16.32
Event Veto ['NoiseBurst'], Tue Jun  5 18:41:59 2018 UTC-Tue Jun  5 18:41:59 2018 UTC (0.001 )  Time stamp start 1528224119669662925 end 1528224119668662425  Run 352056, LB 82, lumi 16.41
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:42:22 2018 UTC-Tue Jun  5 18:42:22 2018 UTC (0.001 )  Time stamp start 1528224142589476675 end 1528224142588476675  Run 352056, LB 82, lumi 16.41
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:42:49 2018 UTC-Tue Jun  5 18:42:49 2018 UTC (0.002 )  Time stamp start 1528224169375538800 end 1528224169373682095  Run 352056, LB 82, lumi 30.46
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:43:01 2018 UTC-Tue Jun  5 18:43:01 2018 UTC (0.001 )  Time stamp start 1528224181017766430 end 1528224181016766430  Run 352056, LB 83, lumi 16.42
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:43:15 2018 UTC-Tue Jun  5 18:43:15 2018 UTC (0.001 )  Time stamp start 1528224195582610665 end 1528224195581610665  Run 352056, LB 83, lumi 16.42
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:44:19 2018 UTC-Tue Jun  5 18:44:19 2018 UTC (0.001 )  Time stamp start 1528224259082404275 end 1528224259081404275  Run 352056, LB 84, lumi 16.26
Event Veto ['NoiseBurst'], Tue Jun  5 18:44:34 2018 UTC-Tue Jun  5 18:44:34 2018 UTC (0.001 )  Time stamp start 1528224274591158330 end 1528224274590157580  Run 352056, LB 84, lumi 16.27
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:46:17 2018 UTC-Tue Jun  5 18:46:17 2018 UTC (0.001 )  Time stamp start 1528224377560493985 end 1528224377559493985  Run 352056, LB 86, lumi 16.12
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:46:43 2018 UTC-Tue Jun  5 18:46:43 2018 UTC (0.001 )  Time stamp start 1528224403888071000 end 1528224403887071000  Run 352056, LB 86, lumi 16.12
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Jun  5 18:46:48 2018 UTC-Tue Jun  5 18:46:48 2018 UTC (0.001 )  Time stamp start 1528224408789913045 end 1528224408788913045  Run 352056, LB 86, lumi 16.12
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:47:11 2018 UTC-Tue Jun  5 18:47:11 2018 UTC (0.001 )  Time stamp start 1528224431363367585 end 1528224431362367585  Run 352056, LB 87, lumi 16.15
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:48:29 2018 UTC-Tue Jun  5 18:48:29 2018 UTC (0.001 )  Time stamp start 1528224509172742655 end 1528224509171742655  Run 352056, LB 88, lumi 16.12
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:48:37 2018 UTC-Tue Jun  5 18:48:37 2018 UTC (0.001 )  Time stamp start 1528224517914143025 end 1528224517913143025  Run 352056, LB 88, lumi 16.12
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:48:46 2018 UTC-Tue Jun  5 18:48:46 2018 UTC (0.001 )  Time stamp start 1528224526782601190 end 1528224526781601190  Run 352056, LB 88, lumi 16.12
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:49:21 2018 UTC-Tue Jun  5 18:49:21 2018 UTC (0.001 )  Time stamp start 1528224561431125675 end 1528224561430125675  Run 352056, LB 89, lumi 16.06
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:49:29 2018 UTC-Tue Jun  5 18:49:29 2018 UTC (0.001 )  Time stamp start 1528224569691201750 end 1528224569690201750  Run 352056, LB 89, lumi 16.06
Event Veto ['NoiseBurst'], Tue Jun  5 18:50:19 2018 UTC-Tue Jun  5 18:50:19 2018 UTC (0.001 )  Time stamp start 1528224619854895995 end 1528224619853744195  Run 352056, LB 90, lumi 18.45
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:51:08 2018 UTC-Tue Jun  5 18:51:08 2018 UTC (0.001 )  Time stamp start 1528224668297536345 end 1528224668296536345  Run 352056, LB 91, lumi 15.85
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:51:34 2018 UTC-Tue Jun  5 18:51:34 2018 UTC (0.001 )  Time stamp start 1528224694394548735 end 1528224694393548735  Run 352056, LB 91, lumi 15.85
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:51:40 2018 UTC-Tue Jun  5 18:51:40 2018 UTC (0.001 )  Time stamp start 1528224700654693010 end 1528224700653693010  Run 352056, LB 91, lumi 15.85
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:51:44 2018 UTC-Tue Jun  5 18:51:44 2018 UTC (0.001 )  Time stamp start 1528224704288709985 end 1528224704287709985  Run 352056, LB 91, lumi 15.85
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:52:38 2018 UTC-Tue Jun  5 18:52:38 2018 UTC (0.001 )  Time stamp start 1528224758689696525 end 1528224758688696525  Run 352056, LB 92, lumi 15.80
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:53:09 2018 UTC-Tue Jun  5 18:53:09 2018 UTC (0.001 )  Time stamp start 1528224789034532090 end 1528224789033532090  Run 352056, LB 93, lumi 15.69
Event Veto ['NoiseBurst'], Tue Jun  5 18:53:09 2018 UTC-Tue Jun  5 18:53:09 2018 UTC (0.001 )  Time stamp start 1528224789932293800 end 1528224789930873280  Run 352056, LB 93, lumi 22.29
Event Veto ['NoiseBurst'], Tue Jun  5 18:53:10 2018 UTC-Tue Jun  5 18:53:10 2018 UTC (0.001 )  Time stamp start 1528224790006058165 end 1528224790004806790  Run 352056, LB 93, lumi 19.64
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:54:14 2018 UTC-Tue Jun  5 18:54:14 2018 UTC (0.001 )  Time stamp start 1528224854945371765 end 1528224854944371765  Run 352056, LB 94, lumi 15.64
Event Veto ['NoiseBurst'], Tue Jun  5 18:54:23 2018 UTC-Tue Jun  5 18:54:23 2018 UTC (0.002 )  Time stamp start 1528224863003759560 end 1528224863001436175  Run 352056, LB 94, lumi 36.33
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:54:23 2018 UTC-Tue Jun  5 18:54:23 2018 UTC (0.001 )  Time stamp start 1528224863954947340 end 1528224863953947340  Run 352056, LB 94, lumi 15.64
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:54:25 2018 UTC-Tue Jun  5 18:54:25 2018 UTC (0.001 )  Time stamp start 1528224865953179875 end 1528224865952179875  Run 352056, LB 94, lumi 15.64
Event Veto ['NoiseBurst'], Tue Jun  5 18:54:29 2018 UTC-Tue Jun  5 18:54:29 2018 UTC (0.001 )  Time stamp start 1528224869587153515 end 1528224869586144205  Run 352056, LB 94, lumi 15.78
Event Veto ['MiniNoiseBurst'], Tue Jun  5 18:54:43 2018 UTC-Tue Jun  5 18:54:43 2018 UTC (0.001 )  Time stamp start 1528224883627418025 end 1528224883626418025  Run 352056, LB 94, lumi 15.64
Event Veto ['NoiseBurst'], Tue Jun  5 18:55:01 2018 UTC-Tue Jun  5 18:55:01 2018 UTC (0.001 )  Time stamp start 1528224901681299115 end 1528224901680279400  Run 352056, LB 95, lumi 15.95
